"Title","Pupil progress (‘Progress 8’) by ethnicity and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"FSM","Ethnicity","Score","Pupils"
"Non-FSM","All","0.04","442,994"
"Non-FSM","Asian","0.36","38,000"
"Non-FSM","Bangladeshi","0.36","5,446"
"Non-FSM","Indian","0.49","11,569"
"Non-FSM","Pakistani","0.18","14,783"
"Non-FSM","Asian other","0.51","6,202"
"Non-FSM","Black","0.22","18,453"
"Non-FSM","Black African","0.37","11,125"
"Non-FSM","Black Caribbean","-0.09","5,192"
"Non-FSM","Black other","0.16","2,136"
"Non-FSM","Chinese","0.68","1,488"
"Non-FSM","Mixed","0.05","17,291"
"Non-FSM","Mixed White/Asian","0.17","4,025"
"Non-FSM","Mixed White/Black African","0.11","1,940"
"Non-FSM","Mixed White/Black Caribbean","-0.17","5,425"
"Non-FSM","Mixed other","0.15","5,901"
"Non-FSM","White","-0.01","359,049"
"Non-FSM","White British","-0.03","341,879"
"Non-FSM","White Irish","0.15","1,446"
"Non-FSM","White Irish Traveller","-0.91","47"
"Non-FSM","White Gypsy/Roma","-0.61","439"
"Non-FSM","White other","0.47","15,238"
"Non-FSM","Other","0.53","4,679"
"Non-FSM","Unknown","-0.24","4,034"
"FSM","All","-0.46","69,090"
"FSM","Asian","0.11","8,394"
"FSM","Bangladeshi","0.25","2,354"
"FSM","Indian","0.24","995"
"FSM","Pakistani","-0.04","4,249"
"FSM","Asian other","0.28","796"
"FSM","Black","0.04","5,812"
"FSM","Black African","0.25","3,533"
"FSM","Black Caribbean","-0.34","1,616"
"FSM","Black other","-0.14","663"
"FSM","Chinese","0.64","118"
"FSM","Mixed","-0.44","4,020"
"FSM","Mixed White/Asian","-0.36","692"
"FSM","Mixed White/Black African","-0.25","483"
"FSM","Mixed White/Black Caribbean","-0.60","1,593"
"FSM","Mixed other","-0.35","1,252"
"FSM","White","-0.65","48,222"
"FSM","White British","-0.68","45,631"
"FSM","White Irish","-0.54","183"
"FSM","White Irish Traveller","-1.34","67"
"FSM","White Gypsy/Roma","-0.82","250"
"FSM","White other","0.07","2,091"
"FSM","Other","0.31","1,628"
"FSM","Unknown","-0.68","896"
