"Title","Pupil progress (‘Progress 8’) by ethnicity, basis for school admission and gender"
"Location","England"
"Time period","2015/16"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19 January 2017 (revised)"

"Ethnicity","Admission Basis","All","Boys","Girls"
"All pupils","All state-funded mainstream schools","0.00","-0.12","0.13"
"All pupils","Non-selective schools in areas of little or no selection","0.00","-0.13","0.13"
"All pupils","Non-selective schools in highly selective areas","-0.09","-0.22","0.04"
"All pupils","Selective schools","0.33","0.26","0.40"
"Asian","All state-funded mainstream schools","0.34","0.20","0.48"
"Asian","Non-selective schools in areas of little or no selection","0.32","0.18","0.47"
"Asian","Non-selective schools in highly selective areas","0.27","0.10","0.47"
"Asian","Selective schools","0.52","0.47","0.58"
"Black","All state-funded mainstream schools","0.21","0.04","0.37"
"Black","Non-selective schools in areas of little or no selection","0.20","0.03","0.37"
"Black","Non-selective schools in highly selective areas","0.28","0.10","0.46"
"Black","Selective schools","0.43","0.43","0.43"
"Chinese","All state-funded mainstream schools","0.70","0.59","0.82"
"Chinese","Non-selective schools in areas of little or no selection","0.73","0.60","0.86"
"Chinese","Non-selective schools in highly selective areas","0.59","0.52","0.68"
"Chinese","Selective schools","0.63","0.57","0.69"
"Mixed","All state-funded mainstream schools","-0.01","-0.14","0.12"
"Mixed","Non-selective schools in areas of little or no selection","-0.03","-0.16","0.11"
"Mixed","Non-selective schools in highly selective areas","-0.05","-0.17","0.07"
"Mixed","Selective schools","0.34","0.27","0.41"
"White","All state-funded mainstream schools","-0.06","-0.18","0.07"
"White","Non-selective schools in areas of little or no selection","-0.06","-0.19","0.06"
"White","Non-selective schools in highly selective areas","-0.13","-0.26","0.00"
"White","Selective schools","0.28","0.19","0.36"
