"Title","Pupil progress (‘Progress 8’) by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Ethnicity","Score","Pupils"
"All","-0.03","512,084"
"Asian","0.31","46,394"
"Bangladeshi","0.33","7,800"
"Indian","0.47","12,564"
"Pakistani","0.13","19,032"
"Asian other","0.49","6,998"
"Black","0.17","24,265"
"Black African","0.34","14,658"
"Black Caribbean","-0.15","6,808"
"Black other","0.09","2,799"
"Chinese","0.68","1,606"
"Mixed","-0.04","21,311"
"Mixed White/Asian","0.10","4,717"
"Mixed White/Black African","0.03","2,423"
"Mixed White/Black Caribbean","-0.27","7,018"
"Mixed other","0.06","7,153"
"White","-0.09","407,271"
"White British","-0.11","387,510"
"White Irish","0.07","1,629"
"White Irish Traveller","-1.16","114"
"White Gypsy/Roma","-0.69","689"
"White other","0.42","17,329"
"Other","0.47","6,307"
"Unknown","-0.32","4,930"
