"Title","Pupil progress (‘Progress 8’) by ethnicity, religion of school and gender"
"Location","England"
"Time period","2015/16"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"","All pupils","","","Asian","","","Black","","","Chinese","","","Mixed","","","White","",""
"","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls","All","Boys","Girls"
"All state-funded mainstream schools","0.00","-0.12","0.13","0.34","0.20","0.48","0.21","0.04","0.37","0.70","0.59","0.82","-0.01","-0.14","0.12","-0.06","-0.18","0.07"
"Church of England schools","0.02","-0.09","0.14","0.33","0.22","0.48","0.11","-0.08","0.29","0.75","0.56","0.99","-0.06","-0.18","0.06","-0.02","-0.13","0.10"
"Jewish schools","0.44","0.34","0.53","0.72","0.88","0.55","0.63","0.81","0.41","!","!","!","0.53","0.49","0.56","0.42","0.36","0.47"
"Muslim schools","0.78","0.61","0.84","0.79","0.63","0.84","0.52","0.09","0.69","N/A","N/A","N/A","0.26","!","!","!","N/A","!"
"No religious character","-0.01","-0.13","0.12","0.32","0.18","0.46","0.19","0.03","0.36","0.71","0.60","0.82","-0.03","-0.16","0.11","-0.07","-0.19","0.06"
"Other Christian faith schools","-0.01","-0.13","0.13","0.42","0.31","0.55","0.15","-0.01","0.36","0.71","0.67","0.75","0.08","-0.03","0.22","-0.09","-0.21","0.05"
"Roman Catholic schools","0.08","-0.04","0.20","0.46","0.31","0.62","0.31","0.14","0.45","0.61","0.49","0.70","0.08","-0.02","0.18","0.01","-0.11","0.12"
"Sikh schools","0.34","0.14","0.55","!","!","!","!","!","!","!","!","!","!","!","!","!","!","!"
