"Title","Pupil progress (‘Progress 8’) by ethnicity and type of school"
"Location","England"
"Time period","2015/16"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"","All pupils","","Asian","","Black","","Chinese","","Mixed","","White",""
"","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils"
"All state-funded schools","-0.03","512,084","0.31","46,394","0.17","24,265","0.68","1,606","-0.04","21,311","-0.09","407,271"
"All state-funded mainstream schools","0.00","502,780","0.34","45,767","0.21","23,807","0.70","1,588","-0.01","20,948","-0.06","399,627"
"Academies and free schools","0.03","319,987","0.37","26,282","0.23","13,781","0.70","1,118","0.04","13,288","-0.03","258,784"
"Converter academies","0.09","236,148","0.41","19,252","0.24","8,476","0.66","893","0.10","9,620","0.05","193,318"
"Free schools","-0.02","1,659","0.40","379","0.05","50","0.28","7","0.13","71","-0.20","1,075"
"Sponsored academies","-0.14","79,406","0.26","6,494","0.24","5,128","0.87","217","-0.09","3,453","-0.24","62,158"
"Further education colleges with provision for 14- to 16-year-olds","-1.99","576","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Local authority maintained mainstream schools","-0.03","181,702","0.29","19,452","0.18","9,990","0.71","469","-0.10","7,619","-0.10","140,448"
"State-funded special schools","-1.78","9,304","-1.53","627","-1.66","458","-1.46","18","-1.79","363","-1.81","7,644"
"Studio schools","-0.86","1,029","-0.33","48","-0.66","20","!","!","-0.96","44","-0.90","885"
"University technical colleges","-0.64","1,745","-0.78","109","-0.50","107","!","!","-0.44","100","-0.62","1,348"
