"Title","Pupil progress (‘Progress 8’)  by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Revised GCSE and equivalent results in England: 2015 to 2016"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"","All pupils","","Asian","","Chinese","","Black","","Mixed","","White",""
"Local Authority","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils","Score","Pupils"
"All - England","-0.03","512,084","0.31","46,394","0.68","1,606","0.17","24,265","-0.04","21,311","-0.09","407,271"
"Barking and Dagenham","0.15","2,024","0.54","374","0.18","5","0.36","477","-0.10","134","-0.06","987"
"Barnet","0.33","3,265","0.58","450","0.66","40","0.20","439","0.31","333","0.27","1,668"
"Barnsley","-0.22","2,042","0.90","4","N/A","0","0.64","9","-0.20","29","-0.22","1,990"
"Bath and North East Somerset","-0.02","1,939","0.30","21","1.08","5","-0.08","16","-0.36","68","-0.01","1,801"
"Bedford","0.14","1,762","0.43","260","1.47","3","0.40","94","-0.04","139","0.07","1,245"
"Bexley","-0.04","3,052","0.31","184","0.38","38","0.35","480","-0.12","151","-0.17","2,134"
"Birmingham","0.00","11,289","0.03","4,354","0.81","36","0.14","1,307","-0.05","783","-0.11","4,306"
"Blackburn with Darwen","0.11","1,696","0.47","711","!","!","-0.17","12","0.11","59","-0.18","897"
"Blackpool","-0.38","1,286","0.80","16","1.31","4","0.01","7","0.12","24","-0.40","1,233"
"Bolton","-0.20","3,093","0.27","579","0.92","6","0.29","82","-0.25","85","-0.35","2,299"
"Bournemouth","-0.01","1,484","1.16","33","0.82","6","0.36","9","0.12","62","-0.06","1,335"
"Bracknell Forest","0.09","1,026","0.78","38","0.88","3","0.06","22","0.21","47","0.05","910"
"Bradford","-0.15","5,561","-0.02","2,371","!","!","0.36","59","-0.35","207","-0.26","2,844"
