"Title","16 to 64-year-old females employed and not in full-time education, by highest qualification and ethnicity"
"Location","Great Britain"
"Time period","2016"
"Data source","Annual Population Survey"
"Data source link","https://www.nomisweb.co.uk/query/select/getdatasetbytheme.asp?opt%3D3%26theme%3D%26subgrp%3D&sa=D&ust=1505757273319000&usg=AFQjCNFnS64ZDSibYXaOTf54ZPpw97wNXg"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Highest qualification held","Ethnicity","%"
"Level 4 and above","Asian","72%"
"Level 4 and above","Black","82%"
"Level 4 and above","Mixed","81%"
"Level 4 and above","White","84%"
"Level 4 and above","Other","68%"
"Level 3","Asian","59%"
"Level 3","Black","68%"
"Level 3","Mixed","74%"
"Level 3","White","79%"
"Level 3","Other","62%"
"Level 2","Asian","52%"
"Level 2","Black","62%"
"Level 2","Mixed","53%"
"Level 2","White","70%"
"Level 2","Other","49%"
"Below level 2","Asian","36%"
"Below level 2","Black","51%"
"Below level 2","Mixed","?"
"Below level 2","White","62%"
"Below level 2","Other","39%"
"Other qualifications","Asian","42%"
"Other qualifications","Black","55%"
"Other qualifications","Mixed","?"
"Other qualifications","White","70%"
"Other qualifications","Other","60%"
"No qualifications","Asian","20%"
"No qualifications","Black","45%"
"No qualifications","Mixed","?"
"No qualifications","White","37%"
"No qualifications","Other","29%"
