"Title","16 to 64-year-old males employed and not in full-time education, by highest qualification and ethnicity"
"Location","Great Britain"
"Time period","2016"
"Data source","Annual Population Survey"
"Data source link","https://www.nomisweb.co.uk/query/select/getdatasetbytheme.asp?opt%3D3%26theme%3D%26subgrp%3D&sa=D&ust=1505757273319000&usg=AFQjCNFnS64ZDSibYXaOTf54ZPpw97wNXg"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Highest qualification held","Ethnicity","%"
"Level 4 and above","Asian","91%"
"Level 4 and above","Black","89%"
"Level 4 and above","Mixed","88%"
"Level 4 and above","White","90%"
"Level 4 and above","Other","86%"
"Level 3","Asian","78%"
"Level 3","Black","85%"
"Level 3","Mixed","81%"
"Level 3","White","86%"
"Level 3","Other","80%"
"Level 2","Asian","76%"
"Level 2","Black","67%"
"Level 2","Mixed","69%"
"Level 2","White","81%"
"Level 2","Other","70%"
"Below level 2","Asian","78%"
"Below level 2","Black","67%"
"Below level 2","Mixed","?"
"Below level 2","White","78%"
"Below level 2","Other","?"
"Other qualifications","Asian","82%"
"Other qualifications","Black","78%"
"Other qualifications","Mixed","?"
"Other qualifications","White","84%"
"Other qualifications","Other","78%"
"No qualifications","Asian","61%"
"No qualifications","Black","40%"
"No qualifications","Mixed","?"
"No qualifications","White","53%"
"No qualifications","Other","62%"
