"Title","16 to 64 year olds employed and not in full-time education, by highest qualification and ethnicity"
"Location","Great Britain"
"Time period","2016"
"Data source","Annual Population Survey"
"Data source link","https://www.nomisweb.co.uk/query/select/getdatasetbytheme.asp?opt%3D3%26theme%3D%26subgrp%3D&sa=D&ust=1505757273319000&usg=AFQjCNFnS64ZDSibYXaOTf54ZPpw97wNXg"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"

"Highest qualification held","Ethnicity","%"
"Level 4 and above","Asian","82%"
"Level 4 and above","Black","85%"
"Level 4 and above","Mixed","84%"
"Level 4 and above","White","87%"
"Level 4 and above","Other","77%"
"Level 3","Asian","68%"
"Level 3","Black","75%"
"Level 3","Mixed","78%"
"Level 3","White","83%"
"Level 3","Other","71%"
"Level 2","Asian","64%"
"Level 2","Black","64%"
"Level 2","Mixed","61%"
"Level 2","White","75%"
"Level 2","Other","60%"
"Below level 2","Asian","58%"
"Below level 2","Black","58%"
"Below level 2","Mixed","54%"
"Below level 2","White","70%"
"Below level 2","Other","50%"
"Other qualifications","Asian","64%"
"Other qualifications","Black","67%"
"Other qualifications","Mixed","?"
"Other qualifications","White","78%"
"Other qualifications","Other","69%"
"No qualifications","Asian","39%"
"No qualifications","Black","42%"
"No qualifications","Mixed","39%"
"No qualifications","White","45%"
"No qualifications","Other","45%"
