"Title","Physical inactivity by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Active Lives Survey"
"Data source link","https://www.sportengland.org/research/active-lives-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Gender","Ethnicity","%","Number of respondents"
"All","All","25","192,623"
"All","Asian","31","7,984"
"All","Chinese","31","1,057"
"All","Black","29","2,910"
"All","Mixed","19","1,982"
"All","White British","25","167,292"
"All","White Other","23","9,898"
"All","Other","30","1,500"
"Female","All","27","107,612"
"Female","Asian","34","4,183"
"Female","Chinese","33","617"
"Female","Black","30","1,750"
"Female","Mixed","20","1,207"
"Female","White British","26","93,117"
"Female","White Other","23","5,903"
"Female","Other","31","835"
"Male","All","24","84,660"
"Male","Asian","28","3,787"
"Male","Chinese","29","437"
"Male","Black","27","1,149"
"Male","Mixed","18","771"
"Male","White British","24","73,864"
"Male","White Other","23","3,988"
"Male","Other","29","664"
