"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Gender","Age Bracket","NS SEC","Value","Value_type","Denominator (weighted)","Numerator (weighted)","Upper CI","Lower CI","Number of Respondents (unweighted)"
"Percentage of people who are physically inactive","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16+","All","25.6","%","196180","50168","25.90%","25.30%","198911"
"Percentage of people who are physically inactive","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16+","All","24.9","%","154220","38445","25.20%","24.60%","167292"
"Percentage of people who are physically inactive","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16+","All","22.9","%","10590","2430","24.30%","21.70%","9898"
"Percentage of people who are physically inactive","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16+","All","30.6","%","13828","4233","32.10%","29.10%","7984"
"Percentage of people who are physically inactive","Black","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16+","All","28.7","%","4613","1323","31.20%","26.30%","2910"
"Percentage of people who are physically inactive","Chinese","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16+","All","30.8","%","1429","440","35.20%","26.70%","1057"
"Percentage of people who are physically inactive","Mixed","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16+","All","18.9","%","2986","565","21.60%","16.50%","1982"
"Percentage of people who are physically inactive","Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","All","16+","All","29.9","%","2332","697","33.40%","26.60%","1500"
"Percentage of people who are physically inactive","All","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","Male","16+","All","24.2","%","95502","23106","24.60%","23.80%","87607"
"Percentage of people who are physically inactive","White British","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","Male","16+","All","23.6","%","74297","17530","24.10%","23.10%","73864"
"Percentage of people who are physically inactive","White Other","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","Male","16+","All","22.9","%","5060","1161","25.00%","21.00%","3988"
"Percentage of people who are physically inactive","Asian","Asian, Black, Chinese, Mixed, White British, White Other, Other","2015/16","Financial year","England","Country","Male","16+","All","27.6","%","7600","2094","29.80%","25.40%","3787"
