"Title","Victims of crime by ethnicity and age"
"Location","England and Wales"
"Time period","2013/14 to 2015/16 (3 years combined)"
"Data source","Crime Survey for England and Wales https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/datasets/crimeinenglandandwalesannualtrendanddemographictables"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography code","Geography_type","Gender","Age Bracket","Socio-economic classification","Household income","Value","Unweighted base"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","16-24","All","All","23","6553"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","25-34","All","All","21","12676"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","35-44","All","All","19","14194"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","45-54","All","All","17","16140"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","55-64","All","All","13","15720"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","65-74","All","All","9","15889"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","75+","All","All","6","12987"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","16-24","All","All","29","209"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","25-34","All","All","30","256"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS Census 2011 - 5 + 1","England and Wales","K04000001","ONS geography code","All","35-44","All","All","23","226"
