"Title","Victims of crime by ethnicity and gender"
"Location","England and Wales"
"Time period","2013/14 to 2015/16 (3 years combined)"
"Data source","Crime Survey for England and Wales https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/datasets/crimeinenglandandwalesannualtrendanddemographictables"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Gender","Value","Unweighted base"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS Census 2011 - 5 + 1","All","16","94159"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS Census 2011 - 5 + 1","All","25","1012"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS Census 2011 - 5 + 1","All","18","5263"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS Census 2011 - 5 + 1","All","18","2763"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS Census 2011 - 5 + 1","All","15","712"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS Census 2011 - 5 + 1","Male ","16","42656"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","White","ONS Census 2011 - 5 + 1","Female","15","51503"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS Census 2011 - 5 + 1","Male ","24","417"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Mixed","ONS Census 2011 - 5 + 1","Female","27","595"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS Census 2011 - 5 + 1","Male ","18","2603"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Asian","ONS Census 2011 - 5 + 1","Female","17","2660"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS Census 2011 - 5 + 1","Male ","18","1157"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Black","ONS Census 2011 - 5 + 1","Female","18","1606"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS Census 2011 - 5 + 1","Male ","16","371"
"Proportion of adults experiencing crime","2013/14, 2014/15 and 2015/16","3 years combined","Other","ONS Census 2011 - 5 + 1","Female","14","341"
