"Title","Victims of crime by ethnicity and sex"
"Location","England and Wales"
"Time period","2013/14 to 2015/16"
"Data source","Crime Survey for England and Wales https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice/datasets/crimeinenglandandwalesannualtrendanddemographictables"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Time_type","Ethnicity","Ethnicity_type","Geography","Gender","Age Bracket","Socio-economic classification","Household income","Value","Unweighted base"
"3 years combined","White","ONS Census 2011 - 5 + 1","England and Wales","All","16+","All","All","15.7","94159"
"3 years combined","Mixed","ONS Census 2011 - 5 + 1","England and Wales","All","16+","All","All","25.4","1012"
"3 years combined","Asian","ONS Census 2011 - 5 + 1","England and Wales","All","16+","All","All","17.5","5263"
"3 years combined","Black","ONS Census 2011 - 5 + 1","England and Wales","All","16+","All","All","17.8","2763"
"3 years combined","Other","ONS Census 2011 - 5 + 1","England and Wales","All","16+","All","All","15.2","712"
"3 years combined","White","ONS Census 2011 - 5 + 1","England and Wales","Male ","16+","All","All","16.2","42656"
"3 years combined","White","ONS Census 2011 - 5 + 1","England and Wales","Female","16+","All","All","15.3","51503"
"3 years combined","Mixed","ONS Census 2011 - 5 + 1","England and Wales","Male ","16+","All","All","23.6","417"
"3 years combined","Mixed","ONS Census 2011 - 5 + 1","England and Wales","Female","16+","All","All","26.9","595"
"3 years combined","Asian","ONS Census 2011 - 5 + 1","England and Wales","Male ","16+","All","All","18.3","2603"
"3 years combined","Asian","ONS Census 2011 - 5 + 1","England and Wales","Female","16+","All","All","16.7","2660"
"3 years combined","Black","ONS Census 2011 - 5 + 1","England and Wales","Male ","16+","All","All","17.8","1157"
"3 years combined","Black","ONS Census 2011 - 5 + 1","England and Wales","Female","16+","All","All","17.9","1606"
"3 years combined","Other","ONS Census 2011 - 5 + 1","England and Wales","Male ","16+","All","All","16.0","371"
"3 years combined","Other","ONS Census 2011 - 5 + 1","England and Wales","Female","16+","All","All","14.1","341"
