"Title","GCSE-level exam results (‘Attainment 8’) by ethnicity"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics"
"Data source link","https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","19 January 2017 (revised)"

"Ethnicity","Score","Pupils"
"All","50","540,689"
"Asian","53","51,218"
"Bangladeshi","52","8,319"
"Indian","57","14,046"
"Pakistani","49","20,434"
"Asian other","55","8,419"
"Black","49","27,924"
"Black African","50","17,349"
"Black Caribbean","45","7,216"
"Black other","47","3,359"
"Chinese","62","2,026"
"Mixed","51","22,868"
"Mixed White/Asian","55","5,089"
"Mixed White/Black African","50","2,687"
"Mixed White/Black Caribbean","46","7,160"
"Mixed other","52","7,932"
"White","50","422,763"
"White British","50","395,316"
"White Irish","55","1,774"
"White Irish Traveller","29","122"
"White Gypsy/Roma","20","1,107"
"White other","50","24,444"
"Other","50","8,119"
"Unknown","44","5,771"
