"Standard Ethnicity","School Type","Score","Pupils"
"All","Academies and free schools","51","337,452"
"All","All state-funded mainstream schools","51","530,580"
"All","All state-funded schools","50","540,689"
"All","Converter academies","53","247,551"
"All","Free schools","51","1,838"
"All","Further education colleges with provision for 14- to 16-year-olds","18","885"
"All","Local authority maintained mainstream schools","50","191,701"
"All","Sponsored academies","46","85,080"
"All","State-funded special schools","4","10,109"
"All","Studio schools","37","1,119"
"All","University technical colleges","43","1,864"
"Asian","Academies and free schools","54","28,983"
"Asian","All state-funded mainstream schools","53","50,515"
"Asian","All state-funded schools","53","51,218"
"Asian","Converter academies","56","20,958"
"Asian","Free schools","55","411"
"Asian","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"Asian","Local authority maintained mainstream schools","52","21,499"
"Asian","Sponsored academies","49","7,419"
"Asian","State-funded special schools","2","703"
"Asian","Studio schools","41","70"
"Asian","University technical colleges","41","125"
"Black","Academies and free schools","50","15,874"
"Black","All state-funded mainstream schools","50","27,407"
"Black","All state-funded schools","49","27,924"
"Black","Converter academies","51","9,482"
"Black","Free schools","49","60"
"Black","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"Black","Local authority maintained mainstream schools","49","11,496"
"Black","Sponsored academies","48","6,173"
"Black","State-funded special schools","2","517"
"Black","Studio schools","35","29"
"Black","University technical colleges","41","130"
"Chinese","Academies and free schools","64","1,416"
"Chinese","All state-funded mainstream schools","63","2,008"
"Chinese","All state-funded schools","62","2,026"
"Chinese","Converter academies","65","1,127"
"Chinese","Free schools","60","8"
"Chinese","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"Chinese","Local authority maintained mainstream schools","61","591"
"Chinese","Sponsored academies","61","277"
"Chinese","State-funded special schools","2","18"
"Chinese","Studio schools","!","!"
"Chinese","University technical colleges","!","!"
"Mixed","Academies and free schools","52","14,288"
"Mixed","All state-funded mainstream schools","51","22,465"
"Mixed","All state-funded schools","51","22,868"
"Mixed","Converter academies","54","10,292"
"Mixed","Free schools","53","79"
"Mixed","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"Mixed","Local authority maintained mainstream schools","50","8,130"
"Mixed","Sponsored academies","47","3,759"
"Mixed","State-funded special schools","5","403"
"Mixed","Studio schools","38","50"
"Mixed","University technical colleges","45","108"
"White","Academies and free schools","51","268,711"
"White","All state-funded mainstream schools","51","414,528"
"White","All state-funded schools","50","422,763"
"White","Converter academies","53","200,260"
"White","Free schools","50","1,187"
"White","Further education colleges with provision for 14- to 16-year-olds","N/A","N/A"
"White","Local authority maintained mainstream schools","50","145,402"
"White","Sponsored academies","45","64,925"
"White","State-funded special schools","4","8,235"
"White","Studio schools","37","927"
"White","University technical colleges","44","1,412"
