"Standard Ethnicity","SEN","All","Boys","Girls"
"All","All SEN","31","30","33"
"All","No identified SEN","53","52","55"
"All","SEN Support","36","36","37"
"All","SEN with a statement or EHC plan","17","18","15"
"Asian","All SEN","31","31","32"
"Asian","No identified SEN","55","53","57"
"Asian","SEN Support","37","36","38"
"Asian","SEN with a statement or EHC plan","15","16","14"
"Black","All SEN","32","30","35"
"Black","No identified SEN","52","49","54"
"Black","SEN Support","37","36","39"
"Black","SEN with a statement or EHC plan","16","16","15"
"Chinese","All SEN","41","39","46"
"Chinese","No identified SEN","64","62","66"
"Chinese","SEN Support","49","46","53"
"Chinese","SEN with a statement or EHC plan","25","28","16"
"Mixed","All SEN","32","31","35"
"Mixed","No identified SEN","54","52","55"
"Mixed","SEN Support","37","35","39"
"Mixed","SEN with a statement or EHC plan","18","19","16"
"White","All SEN","31","30","33"
"White","No identified SEN","53","52","54"
"White","SEN Support","36","35","37"
"White","SEN with a statement or EHC plan","17","18","15"
