"Title","Population of England and Wales by ethnicity over time"
"Location","England and Wales"
"Time period","2001 to 2011"
"Data source","2011 Census"
"Data source link","https://www.ons.gov.uk/census/2011census"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","17/12/2012"

"Ethnicity","2001","2011"
"Asian","",""
"Bangladeshi","0.5","0.8"
"Chinese","0.4","0.7"
"Indian","2.0","2.5"
"Pakistani","1.4","2.0"
"Asian other","0.5","1.5"
"Black","",""
"Black African","0.9","1.8"
"Black Caribbean","1.1","1.1"
"Black other","0.2","0.5"
"Mixed","",""
"Mixed White/Asian","0.4","0.6"
"Mixed White/Black African","0.2","0.3"
"Mixed White/Black Caribbean","0.5","0.8"
"Mixed other","0.3","0.5"
"White","",""
"White British","87.4","80.5"
"White Irish","1.2","0.9"
"White Gypsy/Traveller","N/A","0.1"
"White other","2.6","4.4"
"Other","",""
"Arab","N/A","0.4"
"Any other","0.4","0.6"
