"Title","Overcrowded households by ethnicity"
"Location","England"
"Time period","2013/14, 2014/15 and 2015/16 (combined)"
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","7 March 2017"

"Ethnicity","%","Overcrowded households","All households"
"Asian","","",""
"Bangladeshi","30","32,465","108,241"
"Chinese","7","9,770","132,162"
"Indian","8","36,836","486,845"
"Pakistani","15","50,107","327,347"
"Asian other","10","22,247","213,555"
"Black","","",""
"Black African","15","53,154","360,219"
"Black Caribbean","8","22,339","285,256"
"Black other","16","5,363","33,438"
"Mixed","","",""
"Mixed White/Asian","3","1,904","64,126"
"Mixed White/Black African","7","5,239","75,210"
"Mixed White/Black Caribbean","4","4,374","98,107"
"Mixed other","5","2,171","43,212"
"White","","",""
"White British","2","315,474","18,827,771"
"White Irish","5","9,689","202,418"
"White Gypsy/Traveller","?","?","?"
"White other","7","78,902","1,052,401"
"Other","","",""
"Arab","11","7,007","64,164"
"Any other","8","19,653","233,069"
