"Ethnicity","Offence Group",""
"Asian","Criminal damage and arson","43"
"Asian","Drug offences","42"
"Asian","Fraud Offences","23"
"Asian","Miscellaneous crimes against society","16"
"Asian","Possession of weapons","25"
"Asian","Public order offences","8"
"Asian","Robbery","52"
"Asian","Sexual offences","58"
"Asian","Theft Offences","9"
"Asian","Violence against the person","30"
"Black","Criminal damage and arson","30"
"Black","Drug offences","35"
"Black","Fraud Offences","14"
"Black","Miscellaneous crimes against society","11"
"Black","Possession of weapons","15"
"Black","Public order offences","7"
"Black","Robbery","50"
"Black","Sexual offences","61"
"Black","Theft Offences","11"
"Black","Violence against the person","39"
"Mixed","Criminal damage and arson","36"
"Mixed","Drug offences","34"
"Mixed","Fraud Offences","17"
"Mixed","Miscellaneous crimes against society","10"
"Mixed","Possession of weapons","15"
"Mixed","Public order offences","8"
"Mixed","Robbery","56"
"Mixed","Sexual offences","65"
"Mixed","Theft Offences","9"
"Mixed","Violence against the person","26"
"White","Criminal damage and arson","30"
"White","Drug offences","34"
"White","Fraud Offences","16"
"White","Miscellaneous crimes against society","11"
"White","Possession of weapons","12"
"White","Public order offences","6"
"White","Robbery","47"
"White","Sexual offences","60"
"White","Theft Offences","9"
"White","Violence against the person","21"
"Other inc Chinese","Criminal damage and arson","74"
"Other inc Chinese","Drug offences","32"
"Other inc Chinese","Fraud Offences","15"
"Other inc Chinese","Miscellaneous crimes against society","13"
"Other inc Chinese","Possession of weapons","12"
"Other inc Chinese","Public order offences","5"
"Other inc Chinese","Robbery","60"
"Other inc Chinese","Sexual offences","49"
"Other inc Chinese","Theft Offences","11"
"Other inc Chinese","Violence against the person","25"
