"Title","Average length of custodial sentences"
"Location","England and Wales"
"Time period","2009 to 2017"
"Data source","Ministry of Justice"
"Data source link","https://www.gov.uk/government/collections/criminal-justice-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-08"
"Year","Sex","Age group","Ethnicity","ACSL (in months)"
"2009","All","All","Asian","19.5"
"2009","All","All","Black","20.2"
"2009","All","All","Mixed","16.1"
"2009","All","All","Other inc Chinese","16.7"
"2009","All","All","White","14.6"
"2010","All","All","Asian","19.9"
"2010","All","All","Black","21.4"
"2010","All","All","Mixed","17.3"
"2010","All","All","Other inc Chinese","16.6"
"2010","All","All","White","14.9"
"2011","All","All","Asian","22.0"
"2011","All","All","Black","22.8"
"2011","All","All","Mixed","17.8"
"2011","All","All","Other inc Chinese","17.0"
"2011","All","All","White","15.6"
"2012","All","All","Asian","22.4"
"2012","All","All","Black","23.4"
"2012","All","All","Mixed","19.7"
"2012","All","All","Other inc Chinese","17.2"
"2012","All","All","White","15.9"
"2013","All","All","Asian","22.8"
"2013","All","All","Black","24.3"
"2013","All","All","Mixed","19.4"
"2013","All","All","Other inc Chinese","18.6"
"2013","All","All","White","16.9"
"2014","All","All","Asian","24.9"
"2014","All","All","Black","24.7"
"2014","All","All","Mixed","19.8"
"2014","All","All","Other inc Chinese","19.2"
"2014","All","All","White","17.0"
"2015","All","All","Asian","24.9"
"2015","All","All","Black","25.2"
"2015","All","All","Mixed","20.0"
"2015","All","All","Other inc Chinese","21.4"
"2015","All","All","White","17.7"
"2016","All","All","Asian","24.8"
"2016","All","All","Black","24.0"
"2016","All","All","Mixed","20.7"
"2016","All","All","Other inc Chinese","23.2"
"2016","All","All","White","17.9"
"2017","All","All","Asian","27.1"
"2017","All","All","Black","25.6"
"2017","All","All","Mixed","22.0"
"2017","All","All","Other inc Chinese","21.0"
"2017","All","All","White","18.3"
