"","Asian","","","Black","","","Mixed","","","White","","","Other inc Chinese","",""
"","Male","Female","Not known","Male","Female","Not known","Male","Female","Not known","Male","Female","Not known","Male","Female","Not known"
"2009","20","16","3","21","14","2","17","8","5","15","9","2","17","12","1"
"2010","20","15","1","22","14","2","18","11","0","15","9","2","17","13","3"
"2011","22","18","6","23","16","1","18","14","4","16","10","2","18","12","0"
"2012","23","15","0","24","16","2","20","14","1","16","10","2","18","12","3"
"2013","23","14","3","25","14","5","20","10","3","18","10","2","19","9","2"
"2014","25","19","1","25","14","3","21","9","1","18","10","2","19","17","3"
"2015","25","19","2","26","15","4","21","12","2","19","10","2","22","14","3"
"2016","25","14","2","25","14","4","22","10","2","19","10","2","24","12","0"
"2017","27","18","2","26","14","3","23","10","1","19","11","3","21","16","0"
