"Title","People claiming Jobseeker’s Allowance"
"Location","England and Wales"
"Time period","2011 to 2015"
"Data source","Department for Work and Pensions"
"Data source link","https://www.nomisweb.co.uk/home/news.asp?cat=24"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-02-05"
"Date","Date type","Region","Region type","Ethnicity","Ethnicity type","Numerator","Numerator type","Denominator","Denominator type","Rate","Rate type"
"2011","Calendar Year","East","Government Region","All","All","111970","Average number of claimants a month matching geographic and ethnicity status","3719075","Number of people in the population matching geographic and ethnicity status","3","Percentage of Numerator / Denominator"
"2012","Calendar Year","East","Government Region","All","All","115130","Average number of claimants a month matching geographic and ethnicity status","3708367","Number of people in the population matching geographic and ethnicity status","3.1","Percentage of Numerator / Denominator"
"2013","Calendar Year","East","Government Region","All","All","101720","Average number of claimants a month matching geographic and ethnicity status","3712614","Number of people in the population matching geographic and ethnicity status","2.7","Percentage of Numerator / Denominator"
"2014","Calendar Year","East","Government Region","All","All","68660","Average number of claimants a month matching geographic and ethnicity status","3733587","Number of people in the population matching geographic and ethnicity status","1.8","Percentage of Numerator / Denominator"
"2015","Calendar Year","East","Government Region","All","All","47735","Average number of claimants a month matching geographic and ethnicity status","3755306","Number of people in the population matching geographic and ethnicity status","1.3","Percentage of Numerator / Denominator"
"2011","Calendar Year","East Midlands","Government Region","All","All","103280","Average number of claimants a month matching geographic and ethnicity status","2919158","Number of people in the population matching geographic and ethnicity status","3.5","Percentage of Numerator / Denominator"
"2012","Calendar Year","East Midlands","Government Region","All","All","108970","Average number of claimants a month matching geographic and ethnicity status","2912231","Number of people in the population matching geographic and ethnicity status","3.7","Percentage of Numerator / Denominator"
"2013","Calendar Year","East Midlands","Government Region","All","All","95620","Average number of claimants a month matching geographic and ethnicity status","2912966","Number of people in the population matching geographic and ethnicity status","3.3","Percentage of Numerator / Denominator"
"2014","Calendar Year","East Midlands","Government Region","All","All","67860","Average number of claimants a month matching geographic and ethnicity status","2923197","Number of people in the population matching geographic and ethnicity status","2.3","Percentage of Numerator / Denominator"
"2015","Calendar Year","East Midlands","Government Region","All","All","48320","Average number of claimants a month matching geographic and ethnicity status","2937792","Number of people in the population matching geographic and ethnicity status","1.6","Percentage of Numerator / Denominator"
"2011","Calendar Year","All","England and Wales","All","All","1333765","Average number of claimants a month matching geographic and ethnicity status","36288896","Number of people in the population matching geographic and ethnicity status","3.7","Percentage of Numerator / Denominator"
"2012","Calendar Year","All","England and Wales","All","All","1381350","Average number of claimants a month matching geographic and ethnicity status","36238632","Number of people in the population matching geographic and ethnicity status","3.8","Percentage of Numerator / Denominator"
"2013","Calendar Year","All","England and Wales","All","All","1230050","Average number of claimants a month matching geographic and ethnicity status","36278017","Number of people in the population matching geographic and ethnicity status","3.4","Percentage of Numerator / Denominator"
"2014","Calendar Year","All","England and Wales","All","All","879520","Average number of claimants a month matching geographic and ethnicity status","36397802","Number of people in the population matching geographic and ethnicity status","2.4","Percentage of Numerator / Denominator"
"2015","Calendar Year","All","England and Wales","All","All","622840","Average number of claimants a month matching geographic and ethnicity status","36588665","Number of people in the population matching geographic and ethnicity status","1.7","Percentage of Numerator / Denominator"
"2011","Calendar Year","London","Government Region","All","All","227700","Average number of claimants a month matching geographic and ethnicity status","5664416","Number of people in the population matching geographic and ethnicity status","4","Percentage of Numerator / Denominator"
"2012","Calendar Year","London","Government Region","All","All","226510","Average number of claimants a month matching geographic and ethnicity status","5703747","Number of people in the population matching geographic and ethnicity status","4","Percentage of Numerator / Denominator"
"2013","Calendar Year","London","Government Region","All","All","201925","Average number of claimants a month matching geographic and ethnicity status","5756205","Number of people in the population matching geographic and ethnicity status","3.5","Percentage of Numerator / Denominator"
"2014","Calendar Year","London","Government Region","All","All","147860","Average number of claimants a month matching geographic and ethnicity status","5823490","Number of people in the population matching geographic and ethnicity status","2.5","Percentage of Numerator / Denominator"
"2015","Calendar Year","London","Government Region","All","All","111755","Average number of claimants a month matching geographic and ethnicity status","5907762","Number of people in the population matching geographic and ethnicity status","1.9","Percentage of Numerator / Denominator"
"2011","Calendar Year","North East","Government Region","All","All","85195","Average number of claimants a month matching geographic and ethnicity status","1681674","Number of people in the population matching geographic and ethnicity status","5.1","Percentage of Numerator / Denominator"
"2012","Calendar Year","North East","Government Region","All","All","93305","Average number of claimants a month matching geographic and ethnicity status","1670967","Number of people in the population matching geographic and ethnicity status","5.6","Percentage of Numerator / Denominator"
"2013","Calendar Year","North East","Government Region","All","All","84430","Average number of claimants a month matching geographic and ethnicity status","1667446","Number of people in the population matching geographic and ethnicity status","5.1","Percentage of Numerator / Denominator"
"2014","Calendar Year","North East","Government Region","All","All","61860","Average number of claimants a month matching geographic and ethnicity status","1663362","Number of people in the population matching geographic and ethnicity status","3.7","Percentage of Numerator / Denominator"
"2015","Calendar Year","North East","Government Region","All","All","46570","Average number of claimants a month matching geographic and ethnicity status","1660407","Number of people in the population matching geographic and ethnicity status","2.8","Percentage of Numerator / Denominator"
"2011","Calendar Year","North West","Government Region","All","All","190270","Average number of claimants a month matching geographic and ethnicity status","4552765","Number of people in the population matching geographic and ethnicity status","4.2","Percentage of Numerator / Denominator"
"2012","Calendar Year","North West","Government Region","All","All","200370","Average number of claimants a month matching geographic and ethnicity status","4531762","Number of people in the population matching geographic and ethnicity status","4.4","Percentage of Numerator / Denominator"
"2013","Calendar Year","North West","Government Region","All","All","178420","Average number of claimants a month matching geographic and ethnicity status","4516102","Number of people in the population matching geographic and ethnicity status","4","Percentage of Numerator / Denominator"
"2014","Calendar Year","North West","Government Region","All","All","122535","Average number of claimants a month matching geographic and ethnicity status","4509760","Number of people in the population matching geographic and ethnicity status","2.7","Percentage of Numerator / Denominator"
"2015","Calendar Year","North West","Government Region","All","All","71660","Average number of claimants a month matching geographic and ethnicity status","4519159","Number of people in the population matching geographic and ethnicity status","1.6","Percentage of Numerator / Denominator"
"2011","Calendar Year","South East","Government Region","All","All","137430","Average number of claimants a month matching geographic and ethnicity status","5513564","Number of people in the population matching geographic and ethnicity status","2.5","Percentage of Numerator / Denominator"
"2012","Calendar Year","South East","Government Region","All","All","139260","Average number of claimants a month matching geographic and ethnicity status","5504596","Number of people in the population matching geographic and ethnicity status","2.5","Percentage of Numerator / Denominator"
"2013","Calendar Year","South East","Government Region","All","All","119290","Average number of claimants a month matching geographic and ethnicity status","5511497","Number of people in the population matching geographic and ethnicity status","2.2","Percentage of Numerator / Denominator"
"2014","Calendar Year","South East","Government Region","All","All","81560","Average number of claimants a month matching geographic and ethnicity status","5535330","Number of people in the population matching geographic and ethnicity status","1.5","Percentage of Numerator / Denominator"
"2015","Calendar Year","South East","Government Region","All","All","58810","Average number of claimants a month matching geographic and ethnicity status","5563814","Number of people in the population matching geographic and ethnicity status","1.1","Percentage of Numerator / Denominator"
"2011","Calendar Year","South West","Government Region","All","All","85490","Average number of claimants a month matching geographic and ethnicity status","3326352","Number of people in the population matching geographic and ethnicity status","2.6","Percentage of Numerator / Denominator"
"2012","Calendar Year","South West","Government Region","All","All","89075","Average number of claimants a month matching geographic and ethnicity status","3316714","Number of people in the population matching geographic and ethnicity status","2.7","Percentage of Numerator / Denominator"
"2013","Calendar Year","South West","Government Region","All","All","76670","Average number of claimants a month matching geographic and ethnicity status","3319222","Number of people in the population matching geographic and ethnicity status","2.3","Percentage of Numerator / Denominator"
"2014","Calendar Year","South West","Government Region","All","All","52495","Average number of claimants a month matching geographic and ethnicity status","3327519","Number of people in the population matching geographic and ethnicity status","1.6","Percentage of Numerator / Denominator"
"2015","Calendar Year","South West","Government Region","All","All","36455","Average number of claimants a month matching geographic and ethnicity status","3344746","Number of people in the population matching geographic and ethnicity status","1.1","Percentage of Numerator / Denominator"
"2011","Calendar Year","Wales","Government Region","All","All","74950","Average number of claimants a month matching geographic and ethnicity status","1941524","Number of people in the population matching geographic and ethnicity status","3.9","Percentage of Numerator / Denominator"
"2012","Calendar Year","Wales","Government Region","All","All","79645","Average number of claimants a month matching geographic and ethnicity status","1931637","Number of people in the population matching geographic and ethnicity status","4.1","Percentage of Numerator / Denominator"
"2013","Calendar Year","Wales","Government Region","All","All","72910","Average number of claimants a month matching geographic and ethnicity status","1926617","Number of people in the population matching geographic and ethnicity status","3.8","Percentage of Numerator / Denominator"
"2014","Calendar Year","Wales","Government Region","All","All","56815","Average number of claimants a month matching geographic and ethnicity status","1922448","Number of people in the population matching geographic and ethnicity status","3","Percentage of Numerator / Denominator"
"2015","Calendar Year","Wales","Government Region","All","All","43375","Average number of claimants a month matching geographic and ethnicity status","1919024","Number of people in the population matching geographic and ethnicity status","2.3","Percentage of Numerator / Denominator"
"2011","Calendar Year","West Midlands","Government Region","All","All","164110","Average number of claimants a month matching geographic and ethnicity status","3561093","Number of people in the population matching geographic and ethnicity status","4.6","Percentage of Numerator / Denominator"
"2012","Calendar Year","West Midlands","Government Region","All","All","165030","Average number of claimants a month matching geographic and ethnicity status","3557498","Number of people in the population matching geographic and ethnicity status","4.6","Percentage of Numerator / Denominator"
"2013","Calendar Year","West Midlands","Government Region","All","All","149240","Average number of claimants a month matching geographic and ethnicity status","3560634","Number of people in the population matching geographic and ethnicity status","4.2","Percentage of Numerator / Denominator"
"2014","Calendar Year","West Midlands","Government Region","All","All","109410","Average number of claimants a month matching geographic and ethnicity status","3569489","Number of people in the population matching geographic and ethnicity status","3.1","Percentage of Numerator / Denominator"
"2015","Calendar Year","West Midlands","Government Region","All","All","77060","Average number of claimants a month matching geographic and ethnicity status","3582819","Number of people in the population matching geographic and ethnicity status","2.2","Percentage of Numerator / Denominator"
"2011","Calendar Year","Yorkshire and The Humber","Government Region","All","All","153375","Average number of claimants a month matching geographic and ethnicity status","3409275","Number of people in the population matching geographic and ethnicity status","4.5","Percentage of Numerator / Denominator"
"2012","Calendar Year","Yorkshire and The Humber","Government Region","All","All","164065","Average number of claimants a month matching geographic and ethnicity status","3401113","Number of people in the population matching geographic and ethnicity status","4.8","Percentage of Numerator / Denominator"
"2013","Calendar Year","Yorkshire and The Humber","Government Region","All","All","149835","Average number of claimants a month matching geographic and ethnicity status","3394714","Number of people in the population matching geographic and ethnicity status","4.4","Percentage of Numerator / Denominator"
"2014","Calendar Year","Yorkshire and The Humber","Government Region","All","All","110465","Average number of claimants a month matching geographic and ethnicity status","3389620","Number of people in the population matching geographic and ethnicity status","3.3","Percentage of Numerator / Denominator"
"2015","Calendar Year","Yorkshire and The Humber","Government Region","All","All","81090","Average number of claimants a month matching geographic and ethnicity status","3397836","Number of people in the population matching geographic and ethnicity status","2.4","Percentage of Numerator / Denominator"
"2011","Calendar Year","East","Government Region","Ethnic Minority","ONS 2","11070","Average number of claimants a month matching geographic and ethnicity status","353810","Number of people in the population matching geographic and ethnicity status","3.1","Percentage of Numerator / Denominator"
"2012","Calendar Year","East","Government Region","Ethnic Minority","ONS 2","11500","Average number of claimants a month matching geographic and ethnicity status","360894","Number of people in the population matching geographic and ethnicity status","3.2","Percentage of Numerator / Denominator"
"2013","Calendar Year","East","Government Region","Ethnic Minority","ONS 2","10180","Average number of claimants a month matching geographic and ethnicity status","368682","Number of people in the population matching geographic and ethnicity status","2.8","Percentage of Numerator / Denominator"
"2014","Calendar Year","East","Government Region","Ethnic Minority","ONS 2","7185","Average number of claimants a month matching geographic and ethnicity status","377379","Number of people in the population matching geographic and ethnicity status","1.9","Percentage of Numerator / Denominator"
"2015","Calendar Year","East","Government Region","Ethnic Minority","ONS 2","5475","Average number of claimants a month matching geographic and ethnicity status","386407","Number of people in the population matching geographic and ethnicity status","1.4","Percentage of Numerator / Denominator"
"2011","Calendar Year","East Midlands","Government Region","Ethnic Minority","ONS 2","14015","Average number of claimants a month matching geographic and ethnicity status","326321","Number of people in the population matching geographic and ethnicity status","4.3","Percentage of Numerator / Denominator"
"2012","Calendar Year","East Midlands","Government Region","Ethnic Minority","ONS 2","15175","Average number of claimants a month matching geographic and ethnicity status","332263","Number of people in the population matching geographic and ethnicity status","4.6","Percentage of Numerator / Denominator"
"2013","Calendar Year","East Midlands","Government Region","Ethnic Minority","ONS 2","13675","Average number of claimants a month matching geographic and ethnicity status","338154","Number of people in the population matching geographic and ethnicity status","4","Percentage of Numerator / Denominator"
"2014","Calendar Year","East Midlands","Government Region","Ethnic Minority","ONS 2","9900","Average number of claimants a month matching geographic and ethnicity status","345202","Number of people in the population matching geographic and ethnicity status","2.9","Percentage of Numerator / Denominator"
"2015","Calendar Year","East Midlands","Government Region","Ethnic Minority","ONS 2","7220","Average number of claimants a month matching geographic and ethnicity status","353594","Number of people in the population matching geographic and ethnicity status","2","Percentage of Numerator / Denominator"
"2011","Calendar Year","All","England and Wales","Ethnic Minority","ONS 2","236620","Average number of claimants a month matching geographic and ethnicity status","5225005","Number of people in the population matching geographic and ethnicity status","4.5","Percentage of Numerator / Denominator"
"2012","Calendar Year","All","England and Wales","Ethnic Minority","ONS 2","245525","Average number of claimants a month matching geographic and ethnicity status","5330158","Number of people in the population matching geographic and ethnicity status","4.6","Percentage of Numerator / Denominator"
"2013","Calendar Year","All","England and Wales","Ethnic Minority","ONS 2","222890","Average number of claimants a month matching geographic and ethnicity status","5439734","Number of people in the population matching geographic and ethnicity status","4.1","Percentage of Numerator / Denominator"
"2014","Calendar Year","All","England and Wales","Ethnic Minority","ONS 2","168590","Average number of claimants a month matching geographic and ethnicity status","5561987","Number of people in the population matching geographic and ethnicity status","3","Percentage of Numerator / Denominator"
"2015","Calendar Year","All","England and Wales","Ethnic Minority","ONS 2","129245","Average number of claimants a month matching geographic and ethnicity status","5700195","Number of people in the population matching geographic and ethnicity status","2.3","Percentage of Numerator / Denominator"
"2011","Calendar Year","London","Government Region","Ethnic Minority","ONS 2","111480","Average number of claimants a month matching geographic and ethnicity status","2224496","Number of people in the population matching geographic and ethnicity status","5","Percentage of Numerator / Denominator"
