"Title","English language skills by ethnicity"
"Location","England and Wales"
"Time period","2011"
"Data source","2011 Census"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/culturalidentity/language/articles/languageinenglandandwales/2013-03-04"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","March 2013"

"","Main language is English/Welsh","Other main language: could speak English very well or well","Other main language: could not speak English well","Other main language: could not speak English"
"Ethnicity","","","",""
"All","92.3","6.1","1.3","0.3"
"White British","99.7","0.2","0.0","0.0"
"White Irish","98.5","1.3","0.2","0.0"
"White Gypsy/Traveller","90.8","5.0","3.3","0.9"
"Other White","35.9","51.9","10.6","1.6"
"Mixed White/Black Caribbean","98.2","1.5","0.3","0.1"
"Mixed White/Black African","83.0","14.2","2.3","0.4"
"Mixed White/Asian","90.4","7.7","1.7","0.3"
"Other Mixed","83.7","13.4","2.5","0.5"
"Asian Indian","63.4","29.2","6.0","1.4"
"Asian Pakistani","61.7","27.2","9.1","2.1"
"Asian Bangladeshi","47.9","36.0","13.2","3.0"
"Asian Chinese","44.4","40.4","13.0","2.3"
"Asian other","42.4","47.9","8.4","1.3"
"Black African","71.9","24.4","3.3","0.5"
"Black Caribbean","98.5","1.2","0.2","0.1"
"Other Black","82.3","14.3","2.8","0.5"
"Arab","40.8","48.5","8.9","1.8"
"Any other","47.0","41.7","9.6","1.6"
