"Measure","Ethnicity","Ethnicity_type","Time","Type_of_role","Entry_level","Broad_grade","Specific_grade","Headcount","Denominator","Value","Value_type"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","as at Mar 2018","All","All","All","All","111465","1161893","9.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","as at Mar 2018","All","All","All","All","68251","1161893","5.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","as at Mar 2018","All","All","All","All","6412","1161893","0.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","as at Mar 2018","All","All","All","All","19363","1161893","1.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","as at Mar 2018","All","All","All","All","931704","1161893","80.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","as at Mar 2018","All","All","All","All","24698","1161893","2.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","as at Mar 2018","All","All","All","All","53780","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","as at Mar 2018","All","All","All","All","1161893","1161893","100.0","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","as at Mar 2018","Medical","All","All","All","31030","107410","28.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","as at Mar 2018","Medical","All","All","All","4529","107410","4.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","as at Mar 2018","Medical","All","All","All","2726","107410","2.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","as at Mar 2018","Medical","All","All","All","3368","107410","3.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","as at Mar 2018","Medical","All","All","All","61360","107410","57.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","as at Mar 2018","Medical","All","All","All","4397","107410","4.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","as at Mar 2018","Medical","All","All","All","9528","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","as at Mar 2018","Medical","All","All","All","107410","107410","100.0","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","as at Mar 2018","Non-medical","All","All","All","80435","1054483","7.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","as at Mar 2018","Non-medical","All","All","All","63722","1054483","6.0","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","as at Mar 2018","Non-medical","All","All","All","3686","1054483","0.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","as at Mar 2018","Non-medical","All","All","All","15995","1054483","1.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","as at Mar 2018","Non-medical","All","All","All","870344","1054483","82.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","as at Mar 2018","Non-medical","All","All","All","20301","1054483","1.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","as at Mar 2018","Non-medical","All","All","All","44252","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","as at Mar 2018","Non-medical","All","All","All","1054483","1054483","100.0","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Very Senior Manager","Very Senior Manager","80","1905","4.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Very Senior Manager","Very Senior Manager","19","1905","1.0","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Very Senior Manager","Very Senior Manager","4","1905","0.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Very Senior Manager","Very Senior Manager","13","1905","0.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Very Senior Manager","Very Senior Manager","1783","1905","93.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Very Senior Manager","Very Senior Manager","6","1905","0.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Very Senior Manager","Very Senior Manager","204","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Very Senior Manager","Very Senior Manager","1905","1905","100.0","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 9","49","1436","3.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 9","25","1436","1.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 9","3","1436","0.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 9","20","1436","1.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 9","1331","1436","92.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 9","8","1436","0.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 9","86","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 9","1436","1436","100.0","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","133","3732","3.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","82","3732","2.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","15","3732","0.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","39","3732","1.0","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","3449","3732","92.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","14","3732","0.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","188","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","3732","3732","100.0","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","333","7852","4.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","186","7852","2.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","32","7852","0.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","92","7852","1.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","7159","7852","91.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","50","7852","0.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","329","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","7852","7852","100.0","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","802","15425","5.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","485","15425","3.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","97","15425","0.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","179","15425","1.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","13744","15425","89.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","118","15425","0.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","562","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","15425","15425","100.0","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","2579","39687","6.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","1469","39687","3.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","257","39687","0.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","546","39687","1.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","34425","39687","86.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","411","39687","1.0","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","1353","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","39687","39687","100.0","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","6954","114245","6.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","5343","114245","4.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","639","114245","0.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","1490","114245","1.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","98163","114245","85.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","as at Mar 2018","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","1656","114245","1.4","%"
