"Medical/ non-medical","Ethnicity","%","Headcount"
"Medical","Asian","28.5","30,398"
"Medical","Black","4.0","4,256"
"Medical","Chinese","2.5","2,684"
"Medical","Mixed","3.1","3,271"
"Medical","White","57.9","61,809"
"Medical","Other","4.0","4,259"
"Medical","Unknown","N/A","9,750"
"Non-medical","Asian","7.4","77,133"
"Non-medical","Black","5.9","61,700"
"Non-medical","Chinese","0.3","3,619"
"Non-medical","Mixed","1.5","15,343"
"Non-medical","White","83.0","866,337"
"Non-medical","Other","1.9","19,487"
"Non-medical","Unknown","N/A","43,501"
