"","Asian","","Black","","Chinese","","Mixed","","White","","Other","","Ethnic minority (exc. White minorities)",""
"Grade","%","Headcount","%","Headcount","%","Headcount","%","Headcount","%","Headcount","%","Headcount","%","Headcount"
"Graduate entry grades","","","","","","","","","","","","","",""
"Very Senior Manager","4.2","79","1.0","19","0.3","5","0.6","12","93.6","1,779","0.3","6","6.4","121"
"Band 9","3.7","52","1.7","23","0.3","4","1.2","17","92.5","1,287","0.6","8","7.5","104"
"Band 8d","3.4","125","2.0","75","0.4","14","1.0","38","92.8","3,422","0.3","12","7.2","264"
"Band 8c","4.3","332","2.3","180","0.4","31","1.2","92","91.2","7,056","0.6","50","8.8","685"
"Band 8b","5.0","756","3.1","463","0.6","95","1.2","178","89.4","13,408","0.7","106","10.6","1,598"
"Band 8a","6.3","2,403","3.7","1,405","0.6","237","1.3","500","87.1","33,377","1.0","380","12.9","4,925"
"Band 7","5.9","6,570","4.6","5,109","0.6","652","1.3","1,438","86.3","96,735","1.4","1,576","13.7","15,345"
"Band 6","6.9","13,616","5.8","11,617","0.4","842","1.4","2,774","83.5","165,872","2.0","3,883","16.5","32,732"
"Band 5","10.5","22,235","7.7","16,260","0.4","811","1.6","3,341","76.7","161,892","3.1","6,596","23.3","49,243"
"Non-graduate entry grades","","","","","","","","","","","","","",""
"Band 4","5.9","5,333","4.8","4,378","0.3","251","1.5","1,397","86.6","78,823","0.9","834","13.4","12,193"
"Band 3","5.9","8,264","6.1","8,593","0.2","257","1.5","2,087","85.1","119,212","1.2","1,720","14.9","20,921"
"Band 2","7.6","13,324","6.0","10,569","0.2","314","1.5","2,691","82.7","144,975","1.9","3,412","17.3","30,310"
"Band 1","9.0","2,993","6.8","2,273","0.2","71","1.6","532","80.3","26,826","2.2","726","19.7","6,595"
"Unspecified","","","","","","","","","","","","","",""
"Other grades","7.6"," 1,051 ","5.3","736","0.3","35","1.8","246","83.9"," 11,673 ","1.3","178","16.1"," 2,246 "
