"Measure","Ethnicity","Ethnicity_type","Type_of_role","Entry_level","Broad_grade","Specific_grade","Headcount","Denominator","Value","Value_type"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","All","All","All","All","107531","1150296","9.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","All","All","All","All","65956","1150296","5.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","All","All","All","All","6303","1150296","0.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","All","All","All","All","18614","1150296","1.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","All","All","All","All","928146","1150296","80.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","All","All","All","All","23746","1150296","2.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","All","All","All","All","53251","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","All","All","All","All","1150296","1150296","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","Medical","All","All","All","30398","106677","28.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","Medical","All","All","All","4256","106677","4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","Medical","All","All","All","2684","106677","2.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","Medical","All","All","All","3271","106677","3.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","Medical","All","All","All","61809","106677","57.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","Medical","All","All","All","4259","106677","4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","Medical","All","All","All","9750","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","Medical","All","All","All","106677","106677","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","Non-medical","All","All","All","77133","1043619","7.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","Non-medical","All","All","All","61700","1043619","5.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","Non-medical","All","All","All","3619","1043619","0.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","Non-medical","All","All","All","15343","1043619","1.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","Non-medical","All","All","All","866337","1043619","83","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","Non-medical","All","All","All","19487","1043619","1.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","Non-medical","All","All","All","43501","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","Non-medical","All","All","All","1043619","1043619","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","Non-medical","Graduate","Very Senior Manager","Very Senior Manager","79","1900","4.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","Non-medical","Graduate","Very Senior Manager","Very Senior Manager","19","1900","1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","Non-medical","Graduate","Very Senior Manager","Very Senior Manager","5","1900","0.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","Non-medical","Graduate","Very Senior Manager","Very Senior Manager","12","1900","0.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","Non-medical","Graduate","Very Senior Manager","Very Senior Manager","1779","1900","93.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","Non-medical","Graduate","Very Senior Manager","Very Senior Manager","6","1900","0.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","Non-medical","Graduate","Very Senior Manager","Very Senior Manager","185","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","Non-medical","Graduate","Very Senior Manager","Very Senior Manager","1900","1900","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 9","52","1391","3.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 9","23","1391","1.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 9","4","1391","0.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 9","17","1391","1.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 9","1287","1391","92.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 9","8","1391","0.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 9","88","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 9","1391","1391","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","125","3686","3.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","75","3686","2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","14","3686","0.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","38","3686","1","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","3422","3686","92.8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","12","3686","0.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","204","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8d","3686","3686","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","332","7741","4.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","180","7741","2.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","31","7741","0.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","92","7741","1.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","7056","7741","91.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","50","7741","0.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","336","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8c","7741","7741","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","756","15006","5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","463","15006","3.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","95","15006","0.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","178","15006","1.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","13408","15006","89.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","106","15006","0.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","535","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8b","15006","15006","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","2403","38302","6.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","1405","38302","3.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","237","38302","0.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","500","38302","1.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","33377","38302","87.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","380","38302","1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","1339","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2001 6+1","Non-medical","Graduate","Senior (Bands 8a-9)","Band 8a","38302","38302","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2001 6+1","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","6570","112080","5.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2001 6+1","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","5109","112080","4.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Chinese","ONS 2001 6+1","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","652","112080","0.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2001 6+1","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","1438","112080","1.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2001 6+1","Non-medical","Graduate","Middle (Bands 5-7)","Band 7","96735","112080","86.3","%"
