"Measure","Ethnicity","Ethnicity_type","Time","Type_of_role","Entry_level","Broad_grade","Specific_grade","Headcount","Denominator","Value","Value_type"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","All","All","All","All","117877","1161893","10.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","All","All","All","All","68251","1161893","5.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","All","All","All","All","19363","1161893","1.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","All","All","All","All","931704","1161893","80.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","All","All","All","All","24698","1161893","2.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","All","All","All","All","53780","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","All","All","All","All","1161893","1161893","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Medical","All","All","All","33756","107410","31.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Medical","All","All","All","4529","107410","4.2","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Medical","All","All","All","3368","107410","3.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Medical","All","All","All","61360","107410","57.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Medical","All","All","All","4397","107410","4.1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Medical","All","All","All","9528","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Medical","All","All","All","107410","107410","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Non-medical","All","All","All","84121","1054483","8","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Non-medical","All","All","All","63722","1054483","6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Non-medical","All","All","All","15995","1054483","1.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Non-medical","All","All","All","870344","1054483","82.5","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Non-medical","All","All","All","20301","1054483","1.9","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Non-medical","All","All","All","44252","N/A","N/A","%"
"Percentage of NHS staff in NHS trusts and CCGs","All known","ONS 2011 5+1","as at Mar 2018","Non-medical","All","All","All","1054483","1054483","100","%"
"Percentage of NHS staff in NHS trusts and CCGs","Asian","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Very Senior Manager","Very Senior Manager","84","1905","4.4","%"
"Percentage of NHS staff in NHS trusts and CCGs","Black","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Very Senior Manager","Very Senior Manager","19","1905","1","%"
"Percentage of NHS staff in NHS trusts and CCGs","Mixed","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Very Senior Manager","Very Senior Manager","13","1905","0.7","%"
"Percentage of NHS staff in NHS trusts and CCGs","White","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Very Senior Manager","Very Senior Manager","1783","1905","93.6","%"
"Percentage of NHS staff in NHS trusts and CCGs","Other","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Very Senior Manager","Very Senior Manager","6","1905","0.3","%"
"Percentage of NHS staff in NHS trusts and CCGs","Unknown","ONS 2011 5+1","as at Mar 2018","Non-medical","Graduate","Very Senior Manager","Very Senior Manager","204","N/A","N/A","%"
