"","All","Asian","Black","Mixed","White","Other"
"","Trips ","Trips ","Trips ","Trips ","Trips ","Trips "
"2002/06","1,065","876","823","938","1,087","840"
"2003/07","1,049","868","816","943","1,071","854"
"2004/08","1,041","865","833","937","1,061","863"
"2005/09","1,029","870","836","943","1,048","863"
"2006/10","1,012","859","828","930","1,031","865"
"2007/11","993","836","826","908","1,013","836"
"2008/12","987","837","827","891","1,009","798"
"2009/13","973","832","813","880","994","795"
"2010/14","962","808","809","859","984","784"
"2011/15","952","798","799","871","975","754"
"2012/16","949","801","792","869","971","783"
"2013/17","949","801","778","883","972","796"
