"Title","Travel by distance, trips, type of transport and purpose"
"Location","England"
"Time period","2002/06 to 2011/15 (5-year rolling average)"
"Data source","Department for Transport"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","27 July 2017"
"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Main_Mode_of_Transport","Value","Weighted_Sample_Stage_Distance","Unweighted_Sample_Stage_Distance","Weighted_Sample_Stages","Unweighted_Sample_Stages","Weighted_Sample_Individuals","Unweighted_Sample_Individuals"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","All modes","7141","11360966","10590311","1802580","1674686","82950","81145"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","40","63327","56678","27657","25036","82950","81145"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","71","112905","89546","35582","28383","82950","81145"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","3669","5837461","5447831","690473","640321","82950","81145"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","2050","3260875","3108984","375712","356523","82950","81145"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","London Underground","83","131452","98930","20980","15766","82950","81145"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Motorcycle ","39","62056","55254","5944","5166","82950","81145"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","72","114736","112935","1339","1310","82950","81145"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","203","322517","296621","77171","70534","82950","81145"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","141","224994","218782","13524","13046","82950","81145"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","62","98276","86892","6403","5508","82950","81145"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","455","723523","637055","26718","22708","82950","81145"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","55","87740","79567","19778","17762","82950","81145"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Walk","202","321105","301236","501300","472623","82950","81145"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","All Modes","4558","369733","307282","76823","64757","4229","3711"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bicycle","10","849","700","379","310","4229","3711"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Bus in London","153","12427","9766","3689","2942","4229","3711"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van driver","1878","152332","127929","21641","18366","4229","3711"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Car / van passenger","1358","110118","95349","15800","13873","4229","3711"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","London Underground","214","17384","12723","2269","1628","4229","3711"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Motorcycle ","!","!","!","!","!","!","!"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Non-local bus","!","!","!","!","!","!","!"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other local bus","174","14146","10446","3982","2903","4229","3711"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other private transport","59","4754","3832","508","393","4229","3711"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Other public transport","44","3583","3338","468","330","4229","3711"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Surface Rail","388","31451","24229","1333","1004","4229","3711"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Taxi / minicab","31","2507","2010","644","513","4229","3711"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Asian / Asian British","National Travel Survey broad ethnicity classification","Walk","181","14674","12502","25927","22368","4229","3711"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","All Modes","4697","185802","157099","38710","32715","2063","1854"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bicycle","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Bus in London","621","24585","19966","6666","5437","2063","1854"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van driver","1596","63130","53146","8805","7477","2063","1854"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Car / van passenger","922","36488","32557","4939","4468","2063","1854"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","London Underground","219","8675","7112","1186","956","2063","1854"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Motorcycle ","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Non-local bus","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other local bus","271","10728","8504","2399","1951","2063","1854"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other private transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Other public transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Surface Rail","618","24442","20164","1377","1090","2063","1854"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Taxi / minicab","47","1877","1701","432","394","2063","1854"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","National Travel Survey broad ethnicity classification","Walk","172","6791","5878","12187","10331","2063","1854"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","All Modes","4954","110811","95733","22912","20116","1166","1069"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","244","5452","4609","1790","1566","1166","1069"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","1375","30745","25692","4337","3618","1166","1069"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Car / van passenger","1894","42366","38101","5975","5450","1166","1069"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","London Underground","178","3987","3095","593","452","1166","1069"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Non-local bus","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other local bus","296","6631","5202","1588","1300","1166","1069"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other private transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Other public transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Surface Rail","482","10775","9367","431","345","1166","1069"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Taxi / minicab","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","National Travel Survey broad ethnicity classification","Walk","209","4667","4164","7331","6642","1166","1069"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","All Modes","4465","81136","67580","17602","14376","948","829"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bicycle","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Bus in London","375","6809","5428","2038","1605","948","829"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van driver","1514","27514","22982","3906","3332","948","829"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Car / van passenger","1229","22342","19647","2885","2508","948","829"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","London Underground","296","5375","3721","844","570","948","829"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Motorcycle ","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Non-local bus","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other local bus","246","4475","3816","840","712","948","829"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other private transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Other public transport","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Surface Rail","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Taxi / minicab","-9","-9","-9","-9","-9","-9","-9"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","Other ethnic group","National Travel Survey broad ethnicity classification","Walk","192","3486","2903","6053","4860","948","829"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","White","National Travel Survey broad ethnicity classification","All Modes","7424","10609568","9959079","1646003","1542259","74508","73649"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bicycle","42","60520","54568","26536","24167","74508","73649"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","White","National Travel Survey broad ethnicity classification","Bus in London","44","63500","49692","21369","16814","74508","73649"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van driver","3892","5561773","5216292","651618","607380","74508","73649"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","White","National Travel Survey broad ethnicity classification","Car / van passenger","2133","3048249","2922054","346049","330165","74508","73649"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","White","National Travel Survey broad ethnicity classification","London Underground","67","95972","72242","16079","12154","74508","73649"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","White","National Travel Survey broad ethnicity classification","Motorcycle ","43","60811","54360","5732","5022","74508","73649"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","White","National Travel Survey broad ethnicity classification","Non-local bus","72","102369","102427","1197","1184","74508","73649"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other local bus","200","286458","268591","68322","63640","74508","73649"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other private transport","150","214300","209366","12596","12270","74508","73649"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","White","National Travel Survey broad ethnicity classification","Other public transport","64","91728","80739","5505","4822","74508","73649"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","White","National Travel Survey broad ethnicity classification","Surface Rail","456","651249","579010","23188","19986","74508","73649"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","White","National Travel Survey broad ethnicity classification","Taxi / minicab","57","81242","74030","18192","16406","74508","73649"
"Average distance in miles per year by mode of transport","2002-2006","5-year rolling average","White","National Travel Survey broad ethnicity classification","Walk","204","291396","275708","449619","428249","74508","73649"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","All modes","7130","11634989","10874222","1828176","1705895","85083","83634"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bicycle","41","66360","59508","27358","24863","85083","83634"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Bus in London","73","119916","98280","37525","30984","85083","83634"
"Average distance in miles per year by mode of transport","2003-2007","5-year rolling average","All ethnic groups","National Travel Survey broad ethnicity classification","Car / van driver","3663","5976683","5579829","698999","648760","85083","83634"
