"Title","Distance travelled by ethnicity and mode of transport"
"Location","England"
"Time period","2013 to 2017 (5-year average)"
"Data source","National Travel Survey"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","26/07/2018"

"","All","","Asian","","Black","","Mixed","","White","","Other",""
"","%","Miles","%","Miles","%","Miles","%","Miles","%","Miles","%","Miles"
"Bicycle","1","54","0","14","1","24","1","36","1","60","?","?"
"Bus in London","1","77","4","196","12","520","3","157","1","45","8","338"
"Car / van driver","50","3,268","41","1,912","33","1,389","32","1,654","51","3,508","40","1,708"
"Car / van passenger","28","1,833","29","1,324","21","869","34","1,766","28","1,925","26","1,124"
"London Underground","1","93","4","205","5","201","2","117","1","77","4","182"
"Motorcycle ","0","32","?","?","?","?","?","?","1","36","?","?"
"Non-local bus","1","50","?","?","?","?","?","?","1","50","?","?"
"Other local bus","3","192","2","105","5","209","4","229","3","199","4","157"
"Other private transport","2","104","1","44","?","?","?","?","2","112","?","?"
"Other public transport","1","48","1","29","1","49","?","?","1","50","?","?"
"Surface Rail","9","560","11","526","14","588","11","575","8","564","9","369"
"Taxi / minicab","1","56","1","43","1","60","?","?","1","57","?","?"
"Walk","3","196","4","182","5","194","5","243","3","196","5","212"
