"Title","Car or van ownership"
"Location","England"
"Time period","2002/06 to 2013/17 (5-year rolling average)"
"Data source","Department for Transport"
"Data source link","https://www.gov.uk/government/collections/national-travel-survey-statistics"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-08"
"Measure","Time","Time_Type","Ethnicity","Ethnicity_Type","Value","Value_type","Weighted_Sample_Individuals_with_no_car_access","Unweighted_Sample_Individuals_with_no_car_access","Weighted_Sample_Individuals","Unweighted_Sample_Individuals","Notes"
"Proportion of people with no access to a car","2002-2006","5-year rolling average","All ethnic groups","ONS 2011 5+1","19","%","14318","13712","73876","72497","               "
"Proportion of people with no access to a car","2002-2006","5-year rolling average","Asian / Asian British","ONS 2011 5+1","23","%","791","714","3504","3298","               "
"Proportion of people with no access to a car","2002-2006","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","40","%","738","685","1832","1728","               "
"Proportion of people with no access to a car","2002-2006","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","39","%","252","231","655","611","               "
"Proportion of people with no access to a car","2002-2006","5-year rolling average","Other ethnic group","ONS 2011 5+1","37","%","284","252","776","726","               "
"Proportion of people with no access to a car","2002-2006","5-year rolling average","White","ONS 2011 5+1","18","%","12248","11826","67069","66096","               "
"Proportion of people with no access to a car","2003-2007","5-year rolling average","All ethnic groups","ONS 2011 5+1","19","%","14343","13685","74893","73358","               "
"Proportion of people with no access to a car","2003-2007","5-year rolling average","Asian / Asian British","ONS 2011 5+1","23","%","833","752","3679","3468","               "
"Proportion of people with no access to a car","2003-2007","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","42","%","770","719","1845","1761","               "
"Proportion of people with no access to a car","2003-2007","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","38","%","280","255","737","684","               "
"Proportion of people with no access to a car","2003-2007","5-year rolling average","Other ethnic group","ONS 2011 5+1","38","%","302","270","799","739","               "
"Proportion of people with no access to a car","2003-2007","5-year rolling average","White","ONS 2011 5+1","18","%","12151","11683","67776","66649","               "
"Proportion of people with no access to a car","2004-2008","5-year rolling average","All ethnic groups","ONS 2011 5+1","19","%","14119","13429","74676","73092","               "
"Proportion of people with no access to a car","2004-2008","5-year rolling average","Asian / Asian British","ONS 2011 5+1","22","%","817","715","3729","3454","               "
"Proportion of people with no access to a car","2004-2008","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","42","%","761","716","1826","1741","               "
"Proportion of people with no access to a car","2004-2008","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","35","%","268","238","760","691","               "
"Proportion of people with no access to a car","2004-2008","5-year rolling average","Other ethnic group","ONS 2011 5+1","38","%","310","273","819","751","               "
"Proportion of people with no access to a car","2004-2008","5-year rolling average","White","ONS 2011 5+1","18","%","11956","11481","67481","66394","               "
"Proportion of people with no access to a car","2005-2009","5-year rolling average","All ethnic groups","ONS 2011 5+1","19","%","14134","13416","74979","73652","               "
"Proportion of people with no access to a car","2005-2009","5-year rolling average","Asian / Asian British","ONS 2011 5+1","22","%","871","770","3962","3698","               "
"Proportion of people with no access to a car","2005-2009","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","41","%","734","685","1790","1710","               "
"Proportion of people with no access to a car","2005-2009","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","35","%","278","252","800","740","               "
"Proportion of people with no access to a car","2005-2009","5-year rolling average","Other ethnic group","ONS 2011 5+1","41","%","340","289","835","753","               "
"Proportion of people with no access to a car","2005-2009","5-year rolling average","White","ONS 2011 5+1","18","%","11904","11414","67529","66687","               "
"Proportion of people with no access to a car","2006-2010","5-year rolling average","All ethnic groups","ONS 2011 5+1","19","%","14026","13237","73882","72707","               "
"Proportion of people with no access to a car","2006-2010","5-year rolling average","Asian / Asian British","ONS 2011 5+1","22","%","916","800","4154","3842","               "
"Proportion of people with no access to a car","2006-2010","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","41","%","767","713","1886","1795","               "
"Proportion of people with no access to a car","2006-2010","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","33","%","273","247","834","770","               "
"Proportion of people with no access to a car","2006-2010","5-year rolling average","Other ethnic group","ONS 2011 5+1","38","%","316","264","831","750","               "
"Proportion of people with no access to a car","2006-2010","5-year rolling average","White","ONS 2011 5+1","18","%","11744","11205","66112","65482","               "
"Proportion of people with no access to a car","2007-2011","5-year rolling average","All ethnic groups","ONS 2011 5+1","19","%","13984","13191","72592","71610","               "
"Proportion of people with no access to a car","2007-2011","5-year rolling average","Asian / Asian British","ONS 2011 5+1","24","%","1012","878","4221","3899","               "
"Proportion of people with no access to a car","2007-2011","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","42","%","843","791","1986","1901","               "
"Proportion of people with no access to a car","2007-2011","5-year rolling average","Mixed / Multiple ethnic groups","ONS 2011 5+1","36","%","306","255","846","765","               "
"Proportion of people with no access to a car","2007-2011","5-year rolling average","Other ethnic group","ONS 2011 5+1","38","%","337","284","875","798","               "
"Proportion of people with no access to a car","2007-2011","5-year rolling average","White","ONS 2011 5+1","18","%","11477","10975","64598","64180","               "
"Proportion of people with no access to a car","2008-2012","5-year rolling average","All ethnic groups","ONS 2011 5+1","20","%","14134","13265","72170","71492","               "
"Proportion of people with no access to a car","2008-2012","5-year rolling average","Asian / Asian British","ONS 2011 5+1","25","%","1099","944","4425","4088","               "
"Proportion of people with no access to a car","2008-2012","5-year rolling average","Black / African / Caribbean / Black British","ONS 2011 5+1","43","%","860","794","2022","1940","               "
