"Title","Overcrowded households by ethnicity"
"Location","England"
"Time period","2014 to 2016"
"Data source","English Housing Survey 2013-14, 2014-15 and 2015-16"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Ethnicity","Value","Denominator","Numerator","Sample size"
"English / Welsh / Scottish / Northern Irish / British","2"," 18,827,771 "," 315,474 "," 33,719 "
"Irish","5"," 202,418 "," 9,689 "," 344 "
"Gypsy or Irish Traveller","NA"," NA "," NA "," NA "
"Any Other White background","8"," 1,052,401 "," 78,902 "," 1,601 "
"White and Black Caribbean","NA"," NA "," NA "," NA "
"White and Black African","7"," 75,210 "," 5,239 "," 135 "
"White and Asian","NA"," NA "," NA "," NA "
"Any other Mixed / multiple ethnic background","NA"," NA "," NA "," NA "
"Indian","8"," 486,845 "," 36,836 "," 738 "
"Pakistani","15"," 327,347 "," 50,107 "," 537 "
"Bangladeshi","30"," 108,241 "," 32,465 "," 206 "
"Chinese","7"," 132,162 "," 9,770 "," 199 "
"Any other Asian background","10"," 213,555 "," 22,247 "," 319 "
"African","15"," 360,219 "," 53,154 "," 685 "
"Caribbean","8"," 285,256 "," 22,339 "," 502 "
"Any other Black background","16"," 33,438 "," 5,363 "," 61 "
"Arab","11"," 64,164 "," 7,007 "," 107 "
"Any other ethnic group","8"," 233,069 "," 19,653 "," 366 "
