Title:,Overcrowded households
Time period:,2015/16
Location:,England
Source:,"English Housing Survey, 2013-14, 2014-15 and 2015-16"
Department:,Department for Communities and Local Government
Last update:,7th March 2017
,
,
Measure,Time,Time_type,Ethnicity,Ethnicity_type,Geography,Geography_type,Gender,Gender_type,Age Bracket,Age Bracket Type,NS-SEC group,Income band,Region,Tenure,Value,Denominator,Numerator,Mean,Standard Deviation,Sample size
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,English / Welsh / Scottish / Northern Irish / British,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,All,1.7,18827771,315474,NA,NA,33719
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,Irish,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,All,4.8,202418,9689,NA,NA,344
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,Gypsy or Irish Traveller,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,All,NA,NA,NA,NA,NA,NA
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,Any Other White background,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,All,7.5,1052401,78902,NA,NA,1601
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White and Black Caribbean,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,All,NA,NA,NA,NA,NA,NA
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White and Black African,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,All,7,75210,5239,NA,NA,135
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,White and Asian,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,All,NA,NA,NA,NA,NA,NA
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,Any other Mixed / multiple ethnic background,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,All,NA,NA,NA,NA,NA,NA
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,Indian,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,All,7.6,486845,36836,NA,NA,738
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,Pakistani,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,All,15.3,327347,50107,NA,NA,537
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,Bangladeshi,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,All,30,108241,32465,NA,NA,206
% of households in England which are overcrowded,"2013-14, 2014-15 and 2015-16",Three years,Chinese,ONS 18 + 1,England,England as a whole,All,All,All,All,All,All,All,All,7.4,132162,9770,NA,NA,199
