"Title","Under-occupied households by ethnicity and area"
"Location","England"
"Time period","2013/14 to 2015/16"
"Data source","English Housing Survey 2013-14, 2014-15 and 2015-16"
"Source","https://ethnicity-facts-and-figures.herokuapp.com"

"Ethnicity","Region","Tenure","Value","Denominator","Numerator","Sample size"
"White British","North East","All","36"," 1,083,531 "," 386,464 "," 2,223 "
"White British","North West","All","38"," 2,732,893 "," 1,046,505 "," 5,124 "
"White British","Yorkshire and The Humber","All","39"," 2,014,231 "," 784,867 "," 3,676 "
"White British","East Midlands","All","41"," 1,710,066 "," 700,232 "," 3,206 "
"White British","West Midlands","All","42"," 1,982,713 "," 839,358 "," 3,498 "
"White British","East of England","All","42"," 2,169,371 "," 918,946 "," 3,992 "
"White British","London","All","33"," 1,723,591 "," 570,629 "," 2,353 "
"White British","South East","All","41"," 3,193,654 "," 1,304,316 "," 5,718 "
"White British","South West","All","43"," 2,217,722 "," 955,156 "," 3,929 "
"All other ethnic groups","North East","All","22"," 57,729 "," 12,552 "," 104 "
"All other ethnic groups","North West","All","24"," 321,434 "," 78,247 "," 580 "
"All other ethnic groups","Yorkshire and The Humber","All","20"," 230,373 "," 44,906 "," 413 "
"All other ethnic groups","East Midlands","All","23"," 227,931 "," 51,740 "," 411 "
"All other ethnic groups","West Midlands","All","25"," 339,739 "," 85,621 "," 604 "
"All other ethnic groups","East of England","All","27"," 321,024 "," 86,927 "," 572 "
"All other ethnic groups","London","All","16"," 1,643,031 "," 267,655 "," 2,377 "
"All other ethnic groups","South East","All","24"," 486,885 "," 115,898 "," 826 "
"All other ethnic groups","South West","All","21"," 157,547 "," 33,623 "," 279 "
