"Title","Reading attainment for children aged 5 to 7 by ethnicity, gender and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Breakdown","Ethnicity","%"
"FSM Boys","All","54"
"FSM Boys","Asian","63"
"FSM Boys","Bangladeshi","66"
"FSM Boys","Indian","70"
"FSM Boys","Pakistani","60"
"FSM Boys","Asian other","63"
"FSM Boys","Black","64"
"FSM Boys","Black African","66"
"FSM Boys","Black Caribbean","59"
"FSM Boys","Black other","61"
"FSM Boys","Chinese","72"
"FSM Boys","Mixed","59"
"FSM Boys","Mixed White/Asian","60"
"FSM Boys","Mixed White/Black African","62"
"FSM Boys","Mixed White/Black Caribbean","56"
"FSM Boys","Mixed other","61"
"FSM Boys","White","51"
"FSM Boys","White British","52"
"FSM Boys","White Irish","52"
"FSM Boys","White Irish Traveller","28"
"FSM Boys","White Gypsy/Roma","20"
"FSM Boys","White other","53"
"FSM Boys","Other","57"
"FSM Girls","All","65"
"FSM Girls","Asian","72"
"FSM Girls","Bangladeshi","75"
"FSM Girls","Indian","77"
"FSM Girls","Pakistani","70"
"FSM Girls","Asian other","72"
"FSM Girls","Black","76"
"FSM Girls","Black African","77"
"FSM Girls","Black Caribbean","74"
"FSM Girls","Black other","73"
"FSM Girls","Chinese","79"
"FSM Girls","Mixed","71"
"FSM Girls","Mixed White/Asian","72"
"FSM Girls","Mixed White/Black African","73"
"FSM Girls","Mixed White/Black Caribbean","70"
"FSM Girls","Mixed other","72"
"FSM Girls","White","62"
"FSM Girls","White British","63"
"FSM Girls","White Irish","63"
"FSM Girls","White Irish Traveller","35"
"FSM Girls","White Gypsy/Roma","35"
"FSM Girls","White other","61"
"FSM Girls","Other","69"
"Non-FSM  Boys","All","73"
"Non-FSM  Boys","Asian","73"
"Non-FSM  Boys","Bangladeshi","72"
"Non-FSM  Boys","Indian","80"
"Non-FSM  Boys","Pakistani","68"
"Non-FSM  Boys","Asian other","74"
"Non-FSM  Boys","Black","74"
"Non-FSM  Boys","Black African","75"
"Non-FSM  Boys","Black Caribbean","72"
"Non-FSM  Boys","Black other","71"
"Non-FSM  Boys","Chinese","78"
"Non-FSM  Boys","Mixed","76"
"Non-FSM  Boys","Mixed White/Asian","80"
"Non-FSM  Boys","Mixed White/Black African","77"
"Non-FSM  Boys","Mixed White/Black Caribbean","71"
"Non-FSM  Boys","Mixed other","75"
"Non-FSM  Boys","White","73"
"Non-FSM  Boys","White British","74"
"Non-FSM  Boys","White Irish","76"
"Non-FSM  Boys","White Irish Traveller","25"
"Non-FSM  Boys","White Gypsy/Roma","22"
"Non-FSM  Boys","White other","65"
"Non-FSM  Boys","Other","66"
"Non-FSM Girls","All","81"
"Non-FSM Girls","Asian","81"
"Non-FSM Girls","Bangladeshi","80"
"Non-FSM Girls","Indian","87"
"Non-FSM Girls","Pakistani","76"
"Non-FSM Girls","Asian other","83"
"Non-FSM Girls","Black","82"
"Non-FSM Girls","Black African","84"
"Non-FSM Girls","Black Caribbean","79"
"Non-FSM Girls","Black other","80"
"Non-FSM Girls","Chinese","83"
"Non-FSM Girls","Mixed","83"
"Non-FSM Girls","Mixed White/Asian","87"
"Non-FSM Girls","Mixed White/Black African","83"
"Non-FSM Girls","Mixed White/Black Caribbean","79"
"Non-FSM Girls","Mixed other","84"
"Non-FSM Girls","White","81"
"Non-FSM Girls","White British","82"
"Non-FSM Girls","White Irish","86"
"Non-FSM Girls","White Irish Traveller","41"
"Non-FSM Girls","White Gypsy/Roma","28"
"Non-FSM Girls","White other","71"
"Non-FSM Girls","Other","73"
