"Title","Reading attainment for children aged 5 to 7 by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Gender","Ethnicity","Expected standard","Higher standard"
"Boys","All","70","20"
"Boys","Asian","72","19"
"Boys","Bangladeshi","71","19"
"Boys","Indian","79","27"
"Boys","Pakistani","67","14"
"Boys","Asian other","73","22"
"Boys","Black","71","18"
"Boys","Black African","73","20"
"Boys","Black Caribbean","68","15"
"Boys","Black other","68","17"
"Boys","Chinese","77","29"
"Boys","Mixed","72","23"
"Boys","Mixed White/Asian","77","28"
"Boys","Mixed White/Black African","73","22"
"Boys","Mixed White/Black Caribbean","66","16"
"Boys","Mixed other","72","24"
"Boys","White","70","20"
"Boys","White British","70","21"
"Boys","White Irish","72","26"
"Boys","White Irish Traveller","27","6"
"Boys","White Gypsy/Roma","21","2"
"Boys","White other","64","17"
"Boys","Other","64","15"
"Girls","All","78","27"
"Girls","Asian","80","26"
"Girls","Bangladeshi","79","25"
"Girls","Indian","86","36"
"Girls","Pakistani","75","20"
"Girls","Asian other","82","29"
"Girls","Black","81","26"
"Girls","Black African","82","27"
"Girls","Black Caribbean","78","21"
"Girls","Black other","78","24"
"Girls","Chinese","83","36"
"Girls","Mixed","81","30"
"Girls","Mixed White/Asian","85","36"
"Girls","Mixed White/Black African","80","28"
"Girls","Mixed White/Black Caribbean","76","23"
"Girls","Mixed other","82","31"
"Girls","White","78","27"
"Girls","White British","79","28"
"Girls","White Irish","82","35"
"Girls","White Irish Traveller","37","3"
"Girls","White Gypsy/Roma","30","4"
"Girls","White other","71","21"
"Girls","Other","72","20"
