"","White British","","","Other","",""
"Region","%","Homeowners","All households","%","Homeowners","All households"
"North East","62"," 669,965 "," 1,082,079 ","40"," 24,025 "," 60,660 "
"North West","66"," 1,800,777 "," 2,726,087 ","48"," 159,479 "," 332,876 "
"Yorkshire and The Humber","64"," 1,277,607 "," 1,993,215 ","47"," 117,953 "," 251,038 "
"East Midlands","69"," 1,190,589 "," 1,716,315 ","46"," 102,383 "," 223,700 "
"West Midlands","68"," 1,336,007 "," 1,973,387 ","49"," 174,503 "," 355,356 "
"East of England","70"," 1,522,381 "," 2,179,257 ","45"," 143,253 "," 316,271 "
"London","62"," 1,062,188 "," 1,721,643 ","36"," 582,810 "," 1,615,633 "
"South East","72"," 2,300,230 "," 3,196,339 ","42"," 207,876 "," 492,775 "
"South West","71"," 1,573,674 "," 2,220,374 ","38"," 60,712 "," 160,054 "
