"Title","Home ownership by ethnicity and area"
"Location","England"
"Time period","2014/15 and 2015/16 (combined) "
"Data source","English Housing Survey"
"Data source link","https://www.gov.uk/government/collections/english-housing-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","7 March 2017"

"Ethnicity","Region","%","Homeowners","All households"
"White British","North East","62"," 669,965 "," 1,082,079 "
"White British","North West","66"," 1,800,777 "," 2,726,087 "
"White British","Yorkshire and The Humber","64"," 1,277,607 "," 1,993,215 "
"White British","East Midlands","69"," 1,190,589 "," 1,716,315 "
"White British","West Midlands","68"," 1,336,007 "," 1,973,387 "
"White British","East of England","70"," 1,522,381 "," 2,179,257 "
"White British","London","62"," 1,062,188 "," 1,721,643 "
"White British","South East","72"," 2,300,230 "," 3,196,339 "
"White British","South West","71"," 1,573,674 "," 2,220,374 "
"Other","North East","40"," 24,025 "," 60,660 "
"Other","North West","48"," 159,479 "," 332,876 "
"Other","Yorkshire and The Humber","47"," 117,953 "," 251,038 "
"Other","East Midlands","46"," 102,383 "," 223,700 "
"Other","West Midlands","49"," 174,503 "," 355,356 "
"Other","East of England","45"," 143,253 "," 316,271 "
"Other","London","36"," 582,810 "," 1,615,633 "
"Other","South East","42"," 207,876 "," 492,775 "
"Other","South West","38"," 60,712 "," 160,054 "
