"Ethnicity","Weekly income","%","Homeowners","All households"
"White British","Up to £99","7","13,026","183,039"
"White British","£100 to £199","36","588,678","1,623,813"
"White British","£200 to £299","50","1,148,278","2,290,104"
"White British","£300 to £399","59","1,241,118","2,121,559"
"White British","£400 to £499","63","1,133,141","1,793,046"
"White British","£500 to £599","66","1,090,733","1,641,076"
"White British","£600 to £699","73","1,111,534","1,521,753"
"White British","£700 to £799","77","955,013","1,234,900"
"White British","£800 to £899","81","887,284","1,099,098"
"White British","£900 to £999","83","728,261","875,735"
"White British","£1000 and above","87","3,835,807","4,424,028"
"Other","Up to £99","0","0","64,744"
"Other","£100 to £199","18","58,791","319,019"
"Other","£200 to £299","30","116,474","382,066"
"Other","£300 to £399","26","129,777","490,875"
"Other","£400 to £499","35","140,797","399,204"
"Other","£500 to £599","32","110,654","343,358"
"Other","£600 to £699","41","129,579","312,920"
"Other","£700 to £799","47","124,852","266,681"
"Other","£800 to £899","52","110,086","209,729"
"Other","£900 to £999","55","104,294","188,360"
"Other","£1000 and above","66","547,689","831,408"
