"","Males","","Females",""
"Ethnicity","Could not speak English","Could not speak English well","Could not speak English","Could not speak English well"
"All","0.2","1.2","0.3","1.5"
"White British","0.0","0.0","0.0","0.0"
"White Irish","0.0","0.2","0.0","0.2"
"White Gypsy/Traveller","0.9","3.1","0.9","3.4"
"Other White","1.5","11.0","1.7","10.3"
"Mixed White/Black Caribbean","0.1","0.3","0.1","0.3"
"Mixed White/Black African","0.3","1.9","0.5","2.8"
"Mixed White/Asian","0.2","1.6","0.4","1.8"
"Other Mixed","0.4","2.4","0.5","2.6"
"Asian Indian","0.6","4.0","2.2","8.1"
"Asian Pakistani","0.7","5.8","3.5","12.5"
"Asian Bangladeshi","1.1","9.7","5.0","16.9"
"Asian Chinese","2.1","13.4","2.4","12.6"
"Asian other","0.8","7.0","1.8","9.6"
"Black African","0.3","2.2","0.7","4.2"
"Black Caribbean","0.1","0.3","0.1","0.2"
"Other Black","0.4","1.9","0.7","3.8"
"Arab","1.1","6.6","2.8","12.1"
"Any other","1.1","8.0","2.2","11.5"
