"Title","English language skills by ethnicity and sex"
"Location","England and Wales"
"Time period","2011"
"Data source","2011 Census"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/culturalidentity/language/articles/languageinenglandandwales/2013-03-04"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","March 2013"

"Gender","Ethnicity","Could not speak English","Could not speak English well"
"Males","All","0.2","1.2"
"Males","White British","0.0","0.0"
"Males","White Irish","0.0","0.2"
"Males","White Gypsy/Traveller","0.9","3.1"
"Males","Other White","1.5","11.0"
"Males","Mixed White/Black Caribbean","0.1","0.3"
"Males","Mixed White/Black African","0.3","1.9"
"Males","Mixed White/Asian","0.2","1.6"
"Males","Other Mixed","0.4","2.4"
"Males","Asian Indian","0.6","4.0"
"Males","Asian Pakistani","0.7","5.8"
"Males","Asian Bangladeshi","1.1","9.7"
"Males","Asian Chinese","2.1","13.4"
"Males","Asian other","0.8","7.0"
"Males","Black African","0.3","2.2"
"Males","Black Caribbean","0.1","0.3"
"Males","Other Black","0.4","1.9"
"Males","Arab","1.1","6.6"
"Males","Any other","1.1","8.0"
"Females","All","0.3","1.5"
"Females","White British","0.0","0.0"
"Females","White Irish","0.0","0.2"
"Females","White Gypsy/Traveller","0.9","3.4"
"Females","Other White","1.7","10.3"
"Females","Mixed White/Black Caribbean","0.1","0.3"
"Females","Mixed White/Black African","0.5","2.8"
"Females","Mixed White/Asian","0.4","1.8"
"Females","Other Mixed","0.5","2.6"
"Females","Asian Indian","2.2","8.1"
"Females","Asian Pakistani","3.5","12.5"
"Females","Asian Bangladeshi","5.0","16.9"
"Females","Asian Chinese","2.4","12.6"
"Females","Asian other","1.8","9.6"
"Females","Black African","0.7","4.2"
"Females","Black Caribbean","0.1","0.2"
"Females","Other Black","0.7","3.8"
"Females","Arab","2.8","12.1"
"Females","Any other","2.2","11.5"
