"Title","English language skills by ethnicity, sex and age"
"Location","England and Wales"
"Time period","2011"
"Data source","2011 Census"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/culturalidentity/language/articles/languageinenglandandwales/2013-03-04"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","March 2013"

"","3 to 9 years","","10 to 24 years","","25 to 44 years","","45 to 64 years","","65 years and over",""
"Ethnicity","Males","Females","Males","Females","Males","Females","Males","Females","Males","Females"
"Asian","","","","","","","","","",""
"Bangladeshi","1.2","1.0","0.3","0.7","0.9","2.8","2.5","17.4","5.5","44.9"
"Chinese","2.1","1.9","0.3","0.3","2.1","1.2","3.0","3.0","11.5","22.8"
"Indian","0.6","0.5","0.2","0.2","0.3","0.4","0.6","2.0","2.9","16.2"
"Pakistani","0.8","0.7","0.3","0.5","0.5","1.5","0.8","9.0","3.9","31.0"
"Asian other","1.9","1.7","0.5","0.5","0.5","0.9","0.7","2.5","4.0","12.4"
"Black","","","","","","","","","",""
"Black African","0.6","0.5","0.2","0.2","0.2","0.3","0.2","0.6","1.7","10.2"
"Black Caribbean","0.1","0.1","0.1","0.0","0.1","0.1","0.1","0.1","0.0","0.1"
"Black other","0.7","0.5","0.2","0.2","0.3","0.4","0.3","0.6","1.6","8.1"
"Mixed","","","","","","","","","",""
"Mixed White/Asian","0.3","0.3","0.1","0.1","0.3","0.4","0.3","0.6","0.4","2.0"
"Mixed White/Black African","0.5","0.4","0.1","0.2","0.2","0.3","0.2","0.9","2.0","5.6"
"Mixed White/Black Caribbean","0.1","0.1","0.1","0.0","0.2","0.1","0.1","0.2","0.1","0.2"
"Mixed other","0.5","0.6","0.2","0.2","0.4","0.5","0.8","0.9","0.6","1.7"
"White","","","","","","","","","",""
"White British","0.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"White Irish","0.1","0.1","0.1","0.1","0.1","0.0","0.0","0.0","0.0","0.0"
"White Gypsy/Traveller","2.4","2.1","0.5","0.5","0.9","1.0","0.7","0.9","0.4","0.4"
"White other","5.1","4.7","0.8","0.8","0.9","0.9","2.3","2.9","1.5","3.5"
"Other","","","","","","","","","",""
"Arab","4.4","4.2","0.4","1.1","0.6","2.0","0.7","3.1","2.6","17.5"
"Any other","2.2","2.3","0.8","0.7","0.7","1.2","1.1","2.6","4.3","12.5"
