"","North East","North West","Yorkshire and The Humber","East Midlands","West Midlands","East of England","London","South East","South West","Wales"
"Ethnicity","","","","","","","","","",""
"White British","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"White Irish","0.0","0.0","0.0","0.0","0.0","0.0","0.1","0.0","0.0","0.0"
"White Gypsy/Traveller","0.6","1.2","1.7","1.5","0.8","0.5","2.6","0.3","0.3","0.4"
"Other White","1.7","1.9","2.7","2.5","2.3","1.8","1.3","1.1","1.3","2.5"
"Mixed White/Black Caribbean","0.1","0.0","0.1","0.1","0.1","0.1","0.2","0.1","0.1","0.1"
"Mixed White/Black African","0.2","0.2","0.6","0.2","0.4","0.3","0.6","0.2","0.2","0.2"
"Mixed White/Asian","0.2","0.2","0.4","0.2","0.2","0.2","0.5","0.1","0.2","0.3"
"Other Mixed","0.3","0.4","0.7","0.5","0.8","0.4","0.6","0.2","0.2","0.2"
"Asian Indian","0.5","1.2","1.1","2.5","1.7","0.6","1.3","0.7","0.5","0.6"
"Asian Pakistani","1.3","2.0","2.7","2.0","2.8","1.9","1.1","1.6","0.7","1.2"
"Asian Bangladeshi","2.6","3.5","3.3","2.6","3.5","2.5","3.1","1.9","1.5","2.7"
"Asian Chinese","2.7","3.2","2.4","1.7","2.8","1.9","2.2","1.8","1.7","2.9"
"Asian other","0.6","1.3","1.5","1.4","2.0","0.7","1.4","1.3","0.8","1.2"
"Black African","0.4","0.7","0.7","0.5","0.6","0.2","0.5","0.2","0.7","0.9"
"Black Caribbean","0.3","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1","0.1"
"Other Black","1.0","0.6","0.8","0.5","0.4","0.2","0.6","0.4","0.7","1.5"
"Arab","3.0","2.2","2.8","2.4","2.8","1.6","1.4","1.0","1.2","2.8"
"Any other","1.0","1.3","2.2","2.0","2.1","0.8","1.7","1.0","1.4","2.3"
