"Title","English language skills by ethnicity"
"Location","England and Wales"
"Time period","2011"
"Data source","2011 Census"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/culturalidentity/language/articles/languageinenglandandwales/2013-03-04"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","March 2013"

"Language_proficiency","Ethnicity",""
"Main language is English/Welsh","All","92.3"
"Main language is English/Welsh","White British","99.7"
"Main language is English/Welsh","White Irish","98.5"
"Main language is English/Welsh","White Gypsy/Traveller","90.8"
"Main language is English/Welsh","Other White","35.9"
"Main language is English/Welsh","Mixed White/Black Caribbean","98.2"
"Main language is English/Welsh","Mixed White/Black African","83.0"
"Main language is English/Welsh","Mixed White/Asian","90.4"
"Main language is English/Welsh","Other Mixed","83.7"
"Main language is English/Welsh","Asian Indian","63.4"
"Main language is English/Welsh","Asian Pakistani","61.7"
"Main language is English/Welsh","Asian Bangladeshi","47.9"
"Main language is English/Welsh","Asian Chinese","44.4"
"Main language is English/Welsh","Asian other","42.4"
"Main language is English/Welsh","Black African","71.9"
"Main language is English/Welsh","Black Caribbean","98.5"
"Main language is English/Welsh","Other Black","82.3"
"Main language is English/Welsh","Arab","40.8"
"Main language is English/Welsh","Any other","47.0"
"Other main language: could speak English very well or well","All","6.1"
"Other main language: could speak English very well or well","White British","0.2"
"Other main language: could speak English very well or well","White Irish","1.3"
"Other main language: could speak English very well or well","White Gypsy/Traveller","5.0"
"Other main language: could speak English very well or well","Other White","51.9"
"Other main language: could speak English very well or well","Mixed White/Black Caribbean","1.5"
"Other main language: could speak English very well or well","Mixed White/Black African","14.2"
"Other main language: could speak English very well or well","Mixed White/Asian","7.7"
"Other main language: could speak English very well or well","Other Mixed","13.4"
"Other main language: could speak English very well or well","Asian Indian","29.2"
"Other main language: could speak English very well or well","Asian Pakistani","27.2"
"Other main language: could speak English very well or well","Asian Bangladeshi","36.0"
"Other main language: could speak English very well or well","Asian Chinese","40.4"
"Other main language: could speak English very well or well","Asian other","47.9"
"Other main language: could speak English very well or well","Black African","24.4"
"Other main language: could speak English very well or well","Black Caribbean","1.2"
"Other main language: could speak English very well or well","Other Black","14.3"
"Other main language: could speak English very well or well","Arab","48.5"
"Other main language: could speak English very well or well","Any other","41.7"
"Other main language: could not speak English well","All","1.3"
"Other main language: could not speak English well","White British","0.0"
"Other main language: could not speak English well","White Irish","0.2"
"Other main language: could not speak English well","White Gypsy/Traveller","3.3"
"Other main language: could not speak English well","Other White","10.6"
"Other main language: could not speak English well","Mixed White/Black Caribbean","0.3"
"Other main language: could not speak English well","Mixed White/Black African","2.3"
"Other main language: could not speak English well","Mixed White/Asian","1.7"
"Other main language: could not speak English well","Other Mixed","2.5"
"Other main language: could not speak English well","Asian Indian","6.0"
"Other main language: could not speak English well","Asian Pakistani","9.1"
"Other main language: could not speak English well","Asian Bangladeshi","13.2"
"Other main language: could not speak English well","Asian Chinese","13.0"
"Other main language: could not speak English well","Asian other","8.4"
"Other main language: could not speak English well","Black African","3.3"
"Other main language: could not speak English well","Black Caribbean","0.2"
"Other main language: could not speak English well","Other Black","2.8"
"Other main language: could not speak English well","Arab","8.9"
"Other main language: could not speak English well","Any other","9.6"
"Other main language: could not speak English","All","0.3"
"Other main language: could not speak English","White British","0.0"
"Other main language: could not speak English","White Irish","0.0"
"Other main language: could not speak English","White Gypsy/Traveller","0.9"
"Other main language: could not speak English","Other White","1.6"
"Other main language: could not speak English","Mixed White/Black Caribbean","0.1"
"Other main language: could not speak English","Mixed White/Black African","0.4"
"Other main language: could not speak English","Mixed White/Asian","0.3"
"Other main language: could not speak English","Other Mixed","0.5"
"Other main language: could not speak English","Asian Indian","1.4"
"Other main language: could not speak English","Asian Pakistani","2.1"
"Other main language: could not speak English","Asian Bangladeshi","3.0"
"Other main language: could not speak English","Asian Chinese","2.3"
"Other main language: could not speak English","Asian other","1.3"
"Other main language: could not speak English","Black African","0.5"
"Other main language: could not speak English","Black Caribbean","0.1"
"Other main language: could not speak English","Other Black","0.5"
"Other main language: could not speak English","Arab","1.8"
"Other main language: could not speak English","Any other","1.6"
