"Title","Phonics attainment for children aged 5 to 7 by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Phonics screening check and key stage 1 assessments: England 2016"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated",""

"Gender","Ethnicity","Year 1","Year 2"
"Boys","All","77","89"
"Boys","Asian","81","91"
"Boys","Bangladeshi","78","90"
"Boys","Indian","87","94"
"Boys","Pakistani","77","90"
"Boys","Asian other","82","91"
"Boys","Black","78","89"
"Boys","Black African","80","90"
"Boys","Black Caribbean","74","88"
"Boys","Black other","75","87"
"Boys","Chinese","86","92"
"Boys","Mixed","78","90"
"Boys","Mixed White/Asian","82","93"
"Boys","Mixed White/Black African","78","91"
"Boys","Mixed White/Black Caribbean","73","87"
"Boys","Mixed other","80","90"
"Boys","White","77","89"
"Boys","White British","77","90"
"Boys","White Irish","78","89"
"Boys","White Irish Traveller","35","57"
"Boys","White Gypsy/Roma","33","56"
"Boys","White other","75","87"
"Boys","Other","76","88"
"Boys","Unknown","55","70"
"Girls","All","84","93"
"Girls","Asian","87","95"
"Girls","Bangladeshi","86","94"
"Girls","Indian","92","96"
"Girls","Pakistani","85","94"
"Girls","Asian other","88","95"
"Girls","Black","86","94"
"Girls","Black African","87","94"
"Girls","Black Caribbean","84","93"
"Girls","Black other","84","92"
"Girls","Chinese","90","95"
"Girls","Mixed","86","94"
"Girls","Mixed White/Asian","89","96"
"Girls","Mixed White/Black African","86","94"
"Girls","Mixed White/Black Caribbean","83","93"
"Girls","Mixed other","86","94"
"Girls","White","84","94"
"Girls","White British","85","94"
"Girls","White Irish","83","93"
"Girls","White Irish Traveller","47","63"
"Girls","White Gypsy/Roma","41","64"
"Girls","White other","82","91"
"Girls","Other","82","91"
"Girls","Unknown","61","76"
