"Title","Confidence in the police by ethnicity and socio-economic group"
"Location","England and Wales"
"Time period","2013/14, 2014/15 and 2015/16 (3 years combined)"
"Data source","Crime Survey for England and Wales"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Standard Ethnicity","Socio-economic group","%","Number"
"Asian","Managerial and professional occupations","78","1,639"
"Asian","Intermediate occupations","76","1,070"
"Asian","Routine and manual occupations","79","1,454"
"Asian","Never worked and long-term unemployed","85","578"
"Asian","Full-time students","79","420"
"Asian","Not classified","?","40"
"Black","Managerial and professional occupations","69","794"
"Black","Intermediate occupations","69","467"
"Black","Routine and manual occupations","76","985"
"Black","Never worked and long-term unemployed","73","231"
"Black","Full-time students","65","223"
"Black","Not classified","?","22"
"Mixed","Managerial and professional occupations","65","335"
"Mixed","Intermediate occupations","74","198"
"Mixed","Routine and manual occupations","64","307"
"Mixed","Never worked and long-term unemployed","75","55"
"Mixed","Full-time students","80","99"
"Mixed","Not classified","?","5"
"White","Managerial and professional occupations","80","32,012"
"White","Intermediate occupations","77","22,083"
"White","Routine and manual occupations","74","33,433"
"White","Never worked and long-term unemployed","69","2,801"
"White","Full-time students","80","2,448"
"White","Not classified","73","492"
"Other","Managerial and professional occupations","77","194"
"Other","Intermediate occupations","75","123"
"Other","Routine and manual occupations","81","177"
"Other","Never worked and long-term unemployed","82","104"
"Other","Full-time students","77","105"
"Other","Not classified","?","1"
