"Title","Confidence in the local police by ethnicity over time"
"Location","England and Wales"
"Time period","2013/14 to 2015/16"
"Data source","Crime Survey for England and Wales"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"","2013/14","","2014/15","","2015/16",""
"Ethnicity","%","Number","%","Number","%","Number"
"All","76","35,075","76","33,015","78","34,922"
"Asian","79","1,805","78","1,626","79","1,770"
"Bangladeshi","71","137","82","122","77","133"
"Chinese","77","168","77","134","80","171"
"Indian","83","759","81","665","81","712"
"Pakistani","72","397","71","385","75","425"
"Asian other","82","344","81","320","84","329"
"Black","70","946","71","894","73","882"
"Black African","75","555","77","523","79","518"
"Black Caribbean","62","346","60","314","62","303"
"Black other","?","45","65","57","62","61"
"Mixed","72","336","64","304","72","359"
"Mixed White/Asian","75","80","73","87","76","93"
"Mixed White/Black African","?","46","?","44","?","44"
"Mixed White/Black Caribbean","69","118","68","98","66","132"
"Mixed other","74","92","59","75","72","90"
"White","76","31,725","76","29,917","79","31,627"
"White British","75","29,836","75","28,209","78","29,685"
"White Irish","81","319","80","295","80","286"
"White Gypsy/Traveller","?","12","?","10","?","15"
"White other","81","1,558","81","1,403","85","1,641"
"Other","77","232","77","231","81","241"
"Arab","79","88","82","82","80","86"
"Any other","76","144","73","149","81","155"
