"Title","Confidence in the local police"
"Location","England and Wales"
"Time period","2013/14 to 2015/16"
"Data source","Office for National Statistics"
"Data source link","https://www.ons.gov.uk/peoplepopulationandcommunity/crimeandjustice"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","2018-02-23"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography2","Geography_type","Gender","Gender_type","Socio-economic classification","Age Bracket","Age Bracket Type","Value","Denominator"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","All","All","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","75","7099"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","All","All","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","75.5","5136"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","All","All","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","74.9","3754"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","All","All","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","78.1","2660"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","All","All","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","79.3","5556"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","All","All","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Not classified","All","ONS age brackets","72.7","158"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","All","All","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Full-time students","All","ONS age brackets","77.9","1194"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","All","All","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Never worked and long-term unemployed","All","ONS age brackets","73.5","1302"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","All","All","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","16-24","ONS age brackets","72.3","2781"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","All","All","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","75+","ONS age brackets","83.5","4360"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","All","All","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","25-34","ONS age brackets","75.5","5225"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","All","All","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","65-74","ONS age brackets","78.6","5241"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","All","All","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","55-64","ONS age brackets","75.1","5641"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","All","All","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","35-44","ONS age brackets","75.1","5785"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","All","All","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","45-54","ONS age brackets","74.4","6042"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","All","All","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Intermediate occupations","All","ONS age brackets","74.6","8227"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","All","All","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Managerial and professional occupations","All","ONS age brackets","78.5","11680"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","All","All","K04000001","England and Wales","ONS geography code","All","Male/Female/All","Routine and manual occupations","All","ONS age brackets","74.1","12514"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","All","All","K04000001","England and Wales","ONS geography code","Male","Male/Female/All","All","All","ONS age brackets","75.2","16048"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","All","All","K04000001","England and Wales","ONS geography code","Female","Male/Female/All","All","All","ONS age brackets","76.4","19027"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","All","All","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","75.9","35075"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","All","All","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","74.1","4572"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","All","All","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","73.9","6298"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","Any other asian","ONS 18+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","82.3","344"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","Any other black background","ONS 18+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","?","45"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","Any other ethnic group","ONS 18+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","76.4","144"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","Any other mixed/multiple ethnic background","ONS 18+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","74.1","92"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","Any other white background","ONS 18+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","81.3","1558"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","Arab","ONS 18+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","79","88"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","Asian","ONS 5+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","78.6","1805"
"Confidence in police - Crime Survey England and Wales","2013/14","Year","Bangladeshi","ONS 18+1","K04000001","England and Wales","ONS geography code","All","Male/Female/All","All","All","ONS age brackets","71.2","137"
