"Measure","Ethnicity","Ethnicity_type","Time","Time_type","Geography","Geography_type","Geography code","Gender","Age","Socio-economic classification","Household income","Value","Value_type","Sample size"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","78.6","%","31093"
"Confidence in police - Crime Survey England and Wales","White British","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","78.3","%","28831"
"Confidence in police - Crime Survey England and Wales","White Irish","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","76.0","%","292"
"Confidence in police - Crime Survey England and Wales","Gypsy or Irish traveller","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","?","%","21"
"Confidence in police - Crime Survey England and Wales","Any other white background ","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","83.1","%","1949"
"Confidence in police - Crime Survey England and Wales","Mixed","ONS 2011  5 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","72.4","%","369"
"Confidence in police - Crime Survey England and Wales","Mixed white and black caribbean","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","58.9","%","120"
"Confidence in police - Crime Survey England and Wales","Mixed white and black african","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","75.5","%","56"
"Confidence in police - Crime Survey England and Wales","Mixed  white and asian","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","84.8","%","105"
"Confidence in police - Crime Survey England and Wales","Any other mixed/multiple ethnic background","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","72.1","%","88"
"Confidence in police - Crime Survey England and Wales","Asian","ONS 2011  5 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","79.5","%","1927"
"Confidence in police - Crime Survey England and Wales","Indian","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","81.4","%","757"
"Confidence in police - Crime Survey England and Wales","Pakistani","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","76.2","%","492"
"Confidence in police - Crime Survey England and Wales","Bangladeshi","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","71.8","%","165"
"Confidence in police - Crime Survey England and Wales","Chinese","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","79.4","%","180"
"Confidence in police - Crime Survey England and Wales","Any other asian","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","85.5","%","333"
"Confidence in police - Crime Survey England and Wales","Black","ONS 2011  5 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","71.2","%","999"
"Confidence in police - Crime Survey England and Wales","Black african","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","76.2","%","611"
"Confidence in police - Crime Survey England and Wales","Black caribbean","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","59.9","%","311"
"Confidence in police - Crime Survey England and Wales","Any other black background","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","68.9","%","77"
"Confidence in police - Crime Survey England and Wales","Other","ONS 2011  5 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","76.2","%","345"
"Confidence in police - Crime Survey England and Wales","Arab","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","76.8","%","140"
"Confidence in police - Crime Survey England and Wales","Any other ethnic group","ONS 2011 18 + 1","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","75.8","%","205"
"Confidence in police - Crime Survey England and Wales","All","All","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","All","All","78.3","%","34767"
"Confidence in police - Crime Survey England and Wales","All","All","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16-24","All","All","78.6","%","2552"
"Confidence in police - Crime Survey England and Wales","All","All","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","25-34","All","All","79.4","%","5209"
"Confidence in police - Crime Survey England and Wales","All","All","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","35-44","All","All","77.6","%","5731"
"Confidence in police - Crime Survey England and Wales","All","All","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","45-54","All","All","76.4","%","6099"
"Confidence in police - Crime Survey England and Wales","All","All","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","55-64","All","All","76.0","%","5557"
"Confidence in police - Crime Survey England and Wales","All","All","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","65-74","All","All","79.0","%","5471"
"Confidence in police - Crime Survey England and Wales","All","All","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","75+","All","All","83.4","%","4148"
"Confidence in police - Crime Survey England and Wales","All","All","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","Male","16+","All","All","77.5","%","16143"
"Confidence in police - Crime Survey England and Wales","All","All","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","Female","16+","All","All","79.1","%","18624"
"Confidence in police - Crime Survey England and Wales","All","All","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","Managerial and professional occupations","All","80.9","%","12233"
"Confidence in police - Crime Survey England and Wales","All","All","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","Intermediate occupations","All","77.0","%","8128"
"Confidence in police - Crime Survey England and Wales","All","All","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","Routine and manual occupations","All","76.4","%","11661"
"Confidence in police - Crime Survey England and Wales","All","All","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","Never worked and long-term unemployed","All","75.4","%","1303"
"Confidence in police - Crime Survey England and Wales","All","All","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","Full time students","All","82.1","%","1129"
"Confidence in police - Crime Survey England and Wales","All","All","2016/17","Year ending March","England and Wales","ONS geography code","K04000001","All","16+","Not classified","All","71.5","%","313"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","England and Wales","ONS geography code","K04000001","All","16+","All","All","78","%","92637"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","North East","ONS geography code","E12000001","All","16+","All","All","79","%","6115"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Cleveland","ONS geography code","E23000013","All","16+","All","All","73","%","1813"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Durham","ONS geography code","E23000008","All","16+","All","All","80","%","1974"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Northumbria","ONS geography code","E23000007","All","16+","All","All","81","%","2328"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","North West","ONS geography code","E12000002","All","16+","All","All","77","%","11436"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Cheshire","ONS geography code","E23000006","All","16+","All","All","81","%","1824"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Cumbria","ONS geography code","E23000002","All","16+","All","All","79","%","1807"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Greater Manchester","ONS geography code","E23000005","All","16+","All","All","75","%","3621"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Lancashire","ONS geography code","E23000003","All","16+","All","All","80","%","2212"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Merseyside","ONS geography code","E23000004","All","16+","All","All","75","%","1972"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Yorkshire and the Humber","ONS geography code","E12000003","All","16+","All","All","74","%","8667"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Humberside","ONS geography code","E23000012","All","16+","All","All","67","%","1812"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","North Yorkshire","ONS geography code","E23000009","All","16+","All","All","83","%","1921"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","South Yorkshire","ONS geography code","E23000011","All","16+","All","All","73","%","1902"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","West Yorkshire","ONS geography code","E23000010","All","16+","All","All","75","%","3032"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","East Midlands","ONS geography code","E12000004","All","16+","All","All","76","%","8792"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Derbyshire","ONS geography code","E23000018","All","16+","All","All","75","%","1859"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Leicestershire","ONS geography code","E23000021","All","16+","All","All","79","%","1680"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Lincolnshire","ONS geography code","E23000020","All","16+","All","All","76","%","1848"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Northamptonshire","ONS geography code","E23000022","All","16+","All","All","78","%","1662"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Nottinghamshire","ONS geography code","E23000019","All","16+","All","All","73","%","1743"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","West Midlands Region","ONS geography code","E12000005","All","16+","All","All","75","%","8230"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Staffordshire","ONS geography code","E23000015","All","16+","All","All","71","%","1704"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Warwickshire","ONS geography code","E23000017","All","16+","All","All","79","%","1803"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","West Mercia","ONS geography code","E23000016","All","16+","All","All","78","%","1799"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","West Midlands","ONS geography code","E23000014","All","16+","All","All","75","%","2924"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","East","ONS geography code","E12000006","All","16+","All","All","78","%","11183"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Bedfordshire","ONS geography code","E23000026","All","16+","All","All","75","%","1711"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Cambridgeshire","ONS geography code","E23000023","All","16+","All","All","76","%","1720"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Essex","ONS geography code","E23000028","All","16+","All","All","74","%","2407"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Hertfordshire","ONS geography code","E23000027","All","16+","All","All","83","%","1689"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Norfolk","ONS geography code","E23000024","All","16+","All","All","82","%","1831"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","Suffolk","ONS geography code","E23000025","All","16+","All","All","80","%","1825"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","London","ONS geography code","E12000007","All","16+","All","All","81","%","7018"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","City of London / Metropolitan Police","ONS geography code","E12000007","All","16+","All","All","81","%","7018"
"Confidence in police - Crime Survey England and Wales","White","ONS 2011  5 + 1","2014/15, 2015/16 and 2016/17","3 years combined","South East","ONS geography code","E12000008","All","16+","All","All","80","%","12353"
