"","Nursery and Primary","","Secondary","","Special","","Centrally employed",""
"","%","Teachers","%","Teachers","%","Teachers","%","Teachers"
"Asian","","","","","","","",""
"Bangladeshi","0.5","1,100","0.6","1,300","0.2","!","0.2","!"
"Indian","1.6","3,800","2.2","4,500","1.0","200","1.0","!"
"Pakistani","1.0","2,300","1.3","2,700","0.5","100","0.5","!"
"Asian other","0.5","1,100","0.8","1,700","0.4","100","0.2","!"
"Black","","","","","","","",""
"Black African","0.4","1,000","1.3","2,600","0.9","200","0.1","!"
"Black Caribbean","0.9","2,000","1.2","2,400","1.5","300","0.7","!"
"Black other","0.2","500","0.4","900","0.4","100","0.2","!"
"Mixed","","","","","","","",""
"Mixed White/Asian","0.3","700","0.4","800","0.3","100","0.3","!"
"Mixed White/Black African","0.1","200","0.1","300","0.1","!","0.1","!"
"Mixed White/Black Caribbean","0.3","800","0.3","700","0.4","100","0.3","!"
"Mixed other","0.5","1,100","0.5","1,100","0.4","100","0.4","!"
"White","","","","","","","",""
"White British","88.9","208,400","83.0","169,200","86.7","20,100","90.6","3,600"
"White Irish","1.4","3,200","2.0","4,000","1.4","300","0.7","!"
"White other","2.9","6,900","4.7","9,600","5.1","1,200","3.9","200"
"Other inc Chinese","","","","","","","",""
"Chinese","0.1","300","0.2","500","0.1","!","!","!"
"Any other","0.4","1,000","0.7","1,500","0.6","100","0.5","!"
"Unknown","N/A","14,400","N/A","15,900","N/A","1,500","N/A","900"
