"","Men","","Women",""
"","%","Teachers","%","Teachers"
"Asian","","","",""
"Bangladeshi","0.6","700","0.5","1,800"
"Indian","1.5","1,700","2.0","6,900"
"Pakistani","1.1","1,200","1.1","3,900"
"Asian other","0.7","800","0.6","2,200"
"Black","","","",""
"Black African","1.3","1,500","0.7","2,300"
"Black Caribbean","1.0","1,100","1.1","3,700"
"Black other","0.4","500","0.3","1,100"
"Mixed","","","",""
"Mixed White/Asian","0.4","400","0.3","1,100"
"Mixed White/Black African","0.1","200","0.1","400"
"Mixed White/Black Caribbean","0.3","400","0.3","1,200"
"Mixed other","0.4","500","0.5","1,800"
"White","","","",""
"White British","86.2","97,600","86.3","303,700"
"White Irish","2.0","2,200","1.5","5,300"
"White other","3.3","3,700","4.0","14,100"
"Other inc Chinese","","","",""
"Chinese","0.2","200","0.2","600"
"Any other","0.6","700","0.6","2,000"
"Unknown","N/A","8,400","N/A","24,200"
