"Title","Feeling of belonging to Britain"
"Location","England"
"Time period","2016/17 to 2017/18"
"Data source","Department for Digital, Culture, Media and Sport"
"Data source link","https://www.gov.uk/government/collections/community-life-survey--2"
"Source","https://www.ethnicity-facts-figures.service.gov.uk"
"Last updated","2018-10-03"
"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Value","Number of respondents"
"People feeling strongly they belong to Britain, by ethnicity","2016-17","Year","All","5+1","England","85","7,343"
"People feeling strongly they belong to Britain, by ethnicity","2016-17","Year","Asian","5+1","England","84","993"
"People feeling strongly they belong to Britain, by ethnicity","2016-17","Year","Black","5+1","England","81","197"
"People feeling strongly they belong to Britain, by ethnicity","2016-17","Year","Mixed","5+1","England","79","143"
"People feeling strongly they belong to Britain, by ethnicity","2016-17","Year","White","5+1","England","85","5,821"
"People feeling strongly they belong to Britain, by ethnicity","2016-17","Year","Other","5+1","England","68","120"
"People feeling strongly they belong to Britain, by ethnicity","2017-18","Year","All","5+1","England","85","7,537"
"People feeling strongly they belong to Britain, by ethnicity","2017-18","Year","Asian","5+1","England","84","859"
"People feeling strongly they belong to Britain, by ethnicity","2017-18","Year","Black","5+1","England","82","233"
"People feeling strongly they belong to Britain, by ethnicity","2017-18","Year","Mixed","5+1","England","73","197"
"People feeling strongly they belong to Britain, by ethnicity","2017-18","Year","White","5+1","England","86","6,107"
"People feeling strongly they belong to Britain, by ethnicity","2017-18","Year","Other","5+1","England","79","85"
