"Title","Permanent exclusions by ethnicity and type of school"
"Location","England"
"Time period","2015/16"
"Data source","Statistics: exclusions"
"Data source link","https://www.gov.uk/government/statistics/permanent-and-fixed-period-exclusions-in-england-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","20/07/2017"

"","Primary","","Secondary","","Special",""
"Ethnicity","Exclusions","%","Exclusions","%","Exclusions","%"
"Asian","10","0.00","300","0.09","5","0.04"
"Bangladeshi","!","!","45","0.08","0","0.00"
"Indian","!","!","30","0.03","0","0.00"
"Pakistani","5","0.00","190","0.15","5","0.07"
"Asian other","5","0.01","35","0.07","!","!"
"Black","75","0.04","455","0.26","10","0.13"
"Black African","20","0.02","205","0.19","5","0.07"
"Black Caribbean","45","0.11","195","0.45","5","0.39"
"Black other","10","0.04","55","0.25","0","0.00"
"Chinese","!","!","!","!","0","0.00"
"Mixed","105","0.05","405","0.27","10","0.17"
"Mixed White/Asian","10","0.02","55","0.17","0","0.00"
"Mixed White/Black African","15","0.06","40","0.21","!","!"
"Mixed White/Black Caribbean","55","0.10","190","0.44","5","0.24"
"Mixed other","25","0.03","120","0.23","5","0.20"
"White","880","0.03","4,110","0.17","65","0.09"
"White British","835","0.03","3,840","0.17","65","0.09"
"White Irish","!","!","15","0.15","0","0.00"
"White Irish Traveller","5","0.16","15","1.49","!","!"
"White Gypsy/Roma","10","0.08","55","0.83","0","0.00"
"White other","25","0.01","180","0.12","!","!"
"Other","10","0.02","75","0.15","!","!"
"Unknown","10","0.04","100","0.25","!","!"
