"Measure","Year","Year_type","Region","Local Authority","LA Code","Ethnicity","Ethnicity type","Gender","Gender_type","Value","Denominator"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","All","All","All","All/Boys/Girls","104","566,111"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","104","427,474"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - British","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","104","394,627"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Irish","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","105","1,660"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Traveller of Irish Heritage","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","97","351"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Gypsy/Roma","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","95","1,515"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Any other","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","103","29,321"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","105","29,671"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black Caribbean","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","103","8,304"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Black African","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","104","3,788"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - White and Asian","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","106","6,869"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Mixed - Any other","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","105","10,710"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","106","59,891"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Indian","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","107","15,319"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Pakistani","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","104","25,095"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Bangladeshi","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","106","9,861"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Asian - Any other","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","107","9,616"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black","White/Asian/Black/Mixed/Chinese","All","All/Boys/Girls","105","33,116"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - Caribbean","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","103","7,215"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - African","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","105","21,643"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Black - Any other","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","104","4,258"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Chinese","ONS 18+1/5+1","All","All/Boys/Girls","108","2,124"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Other - Any other","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","105","9,696"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","Unclassified","Ethnicities used by the National Pupil Database (19)","All","All/Boys/Girls","103","4,139"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","All","All","Boys","All/Boys/Girls","103","286,289"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White","White/Asian/Black/Mixed/Chinese","Boys","All/Boys/Girls","103","216,310"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - British","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","103","199,622"
"Average scaled scores for grammar, punctuality and spelling by ethnicity and gender","2015 to 2016","Academic year","England","All","E92000001","White - Irish","Ethnicities used by the National Pupil Database (19)","Boys","All/Boys/Girls","104","841"
