"Measure","Time","Time_type","Ethnicity","Ethnicity_type","Tenancy Length","Value","Numerator"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","2 years or less","24.5","10558"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","White: Irish","ONS 18+1","2 years or less","25.4","71"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","White: Other","ONS 18+1","2 years or less","14","386"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","2 years or less","28.6","294"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Mixed: White & Black African","ONS 18+1","2 years or less","19.2","63"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Mixed: White & Asian","ONS 18+1","2 years or less","30.4","69"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Mixed: Other","ONS 18+1","2 years or less","20.2","106"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Asian/Asian British: Indian","ONS 18+1","2 years or less","22","95"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","2 years or less","20.7","149"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","2 years or less","11.5","84"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Asian/Asian British: Other","ONS 18+1","2 years or less","18.9","157"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","2 years or less","23.6","387"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","2 years or less","18.8","492"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","2 years or less","24.3","109"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Asian/Asian British: Chinese","ONS 18+1","2 years or less","16.1","14"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Other Ethnic group: Other","ONS 18+1","2 years or less","24.6","168"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","2 years or less","21.7","21"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Other Ethnic group: Arab","ONS 18+1","2 years or less","26","81"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","3 to 5 years","61.8","26605"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","White: Irish","ONS 18+1","3 to 5 years","63.8","178"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","White: Other","ONS 18+1","3 to 5 years","72.6","2001"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","3 to 5 years","62.9","646"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Mixed: White & Black African","ONS 18+1","3 to 5 years","67.3","222"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Mixed: White & Asian","ONS 18+1","3 to 5 years","61","138"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Mixed: Other","ONS 18+1","3 to 5 years","66.8","350"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Asian/Asian British: Indian","ONS 18+1","3 to 5 years","65.6","284"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","3 to 5 years","69.9","505"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","3 to 5 years","80.3","586"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Asian/Asian British: Other","ONS 18+1","3 to 5 years","68.3","569"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","3 to 5 years","64","1051"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","3 to 5 years","67.1","1754"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","3 to 5 years","61","275"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Asian/Asian British: Chinese","ONS 18+1","3 to 5 years","73.7","65"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Other Ethnic group: Other","ONS 18+1","3 to 5 years","65.7","449"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","3 to 5 years","62.7","61"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Other Ethnic group: Arab","ONS 18+1","3 to 5 years","64.7","201"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","6 to 9 years","11.6","4981"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","White: Irish","ONS 18+1","6 to 9 years","10.5","29"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","White: Other","ONS 18+1","6 to 9 years","12.3","339"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","6 to 9 years","7.8","80"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Mixed: White & Black African","ONS 18+1","6 to 9 years","11.5","38"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Mixed: White & Asian","ONS 18+1","6 to 9 years","8.6","19"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Mixed: Other","ONS 18+1","6 to 9 years","12","63"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Asian/Asian British: Indian","ONS 18+1","6 to 9 years","12.1","53"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Asian/Asian British: Pakistani","ONS 18+1","6 to 9 years","9.1","66"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Asian/Asian British: Bangladeshi","ONS 18+1","6 to 9 years","7.5","55"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Asian/Asian British: Other","ONS 18+1","6 to 9 years","11.8","99"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Black, African, Caribbean or Black British: Caribbean","ONS 18+1","6 to 9 years","11.8","194"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Black, African, Caribbean or Black British: African","ONS 18+1","6 to 9 years","13.2","346"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Black, African, Caribbean or Black British: Other","ONS 18+1","6 to 9 years","13.8","62"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Asian/Asian British: Chinese","ONS 18+1","6 to 9 years","10.2","9"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Other Ethnic group: Other","ONS 18+1","6 to 9 years","8.5","58"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","White: Gypsy, Irish Traveller","ONS 18+1","6 to 9 years","14.4","14"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Other Ethnic group: Arab","ONS 18+1","6 to 9 years","7.1","22"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","White: English, Scottish, Welsh, Northern Irish, British","ONS 18+1","10 or more years","2","879"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","White: Irish","ONS 18+1","10 or more years","!","!"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","White: Other","ONS 18+1","10 or more years","1.1","31"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Mixed: White & Black Caribbean","ONS 18+1","10 or more years","0.8","8"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Mixed: White & Black African","ONS 18+1","10 or more years","2","7"
"Percentage of new lettings by tenancy length","2016/17","Financial Year","Mixed: White & Asian","ONS 18+1","10 or more years","0","0"
