Measure,Time,Time_type,Ethnicity,Ethnicity_type,Tenancy Length,Value,Numerator
Percentage of new lettings by length of tenancy,2015/16,Financial year,"White: English, Scottish, Welsh, Northern Irish, British",ONS 18+1,2 years or less,27.1,11785
Percentage of new lettings by length of tenancy,2015/16,Financial year,White: Irish,ONS 18+1,2 years or less,28.5,88
Percentage of new lettings by length of tenancy,2015/16,Financial year,White: Other,ONS 18+1,2 years or less,15.3,449
Percentage of new lettings by length of tenancy,2015/16,Financial year,Mixed: White & Black Caribbean,ONS 18+1,2 years or less,27.1,293
Percentage of new lettings by length of tenancy,2015/16,Financial year,Mixed: White & Black African,ONS 18+1,2 years or less,22.6,88
Percentage of new lettings by length of tenancy,2015/16,Financial year,Mixed: White & Asian,ONS 18+1,2 years or less,27.7,75
Percentage of new lettings by length of tenancy,2015/16,Financial year,Mixed: Other,ONS 18+1,2 years or less,21,134
Percentage of new lettings by length of tenancy,2015/16,Financial year,Asian/Asian British: Indian,ONS 18+1,2 years or less,23.3,108
Percentage of new lettings by length of tenancy,2015/16,Financial year,Asian/Asian British: Pakistani,ONS 18+1,2 years or less,23.4,188
Percentage of new lettings by length of tenancy,2015/16,Financial year,Asian/Asian British: Bangladeshi,ONS 18+1,2 years or less,11.6,102
Percentage of new lettings by length of tenancy,2015/16,Financial year,Asian/Asian British: Other,ONS 18+1,2 years or less,17.3,165
Percentage of new lettings by length of tenancy,2015/16,Financial year,"Black, African, Caribbean or Black British: Caribbean",ONS 18+1,2 years or less,21.7,456
Percentage of new lettings by length of tenancy,2015/16,Financial year,"Black, African, Caribbean or Black British: African",ONS 18+1,2 years or less,16.7,537
Percentage of new lettings by length of tenancy,2015/16,Financial year,"Black, African, Caribbean or Black British: Other",ONS 18+1,2 years or less,19.2,114
Percentage of new lettings by length of tenancy,2015/16,Financial year,Other Ethnic group: Chinese,ONS 18+1,2 years or less,18.7,21
Percentage of new lettings by length of tenancy,2015/16,Financial year,Other Ethnic group: Other,ONS 18+1,2 years or less,23.6,176
Percentage of new lettings by length of tenancy,2015/16,Financial year,"White: Gypsy, Irish Traveller",ONS 18+1,2 years or less,17.9,15
Percentage of new lettings by length of tenancy,2015/16,Financial year,Other Ethnic group: Arab,ONS 18+1,2 years or less,19.4,52
Percentage of new lettings by length of tenancy,2015/16,Financial year,"White: English, Scottish, Welsh, Northern Irish, British",ONS 18+1,3 to 5 years,53.3,23210
Percentage of new lettings by length of tenancy,2015/16,Financial year,White: Irish,ONS 18+1,3 to 5 years,52.2,160
Percentage of new lettings by length of tenancy,2015/16,Financial year,White: Other,ONS 18+1,3 to 5 years,64.4,1894
Percentage of new lettings by length of tenancy,2015/16,Financial year,Mixed: White & Black Caribbean,ONS 18+1,3 to 5 years,54.1,585
Percentage of new lettings by length of tenancy,2015/16,Financial year,Mixed: White & Black African,ONS 18+1,3 to 5 years,55,213
Percentage of new lettings by length of tenancy,2015/16,Financial year,Mixed: White & Asian,ONS 18+1,3 to 5 years,52.1,142
Percentage of new lettings by length of tenancy,2015/16,Financial year,Mixed: Other,ONS 18+1,3 to 5 years,57.9,370
Percentage of new lettings by length of tenancy,2015/16,Financial year,Asian/Asian British: Indian,ONS 18+1,3 to 5 years,57.1,266
Percentage of new lettings by length of tenancy,2015/16,Financial year,Asian/Asian British: Pakistani,ONS 18+1,3 to 5 years,59.1,476
Percentage of new lettings by length of tenancy,2015/16,Financial year,Asian/Asian British: Bangladeshi,ONS 18+1,3 to 5 years,75.4,661
Percentage of new lettings by length of tenancy,2015/16,Financial year,Asian/Asian British: Other,ONS 18+1,3 to 5 years,58.6,559
Percentage of new lettings by length of tenancy,2015/16,Financial year,"Black, African, Caribbean or Black British: Caribbean",ONS 18+1,3 to 5 years,51.6,1082
Percentage of new lettings by length of tenancy,2015/16,Financial year,"Black, African, Caribbean or Black British: African",ONS 18+1,3 to 5 years,59.2,1900
Percentage of new lettings by length of tenancy,2015/16,Financial year,"Black, African, Caribbean or Black British: Other",ONS 18+1,3 to 5 years,58,344
Percentage of new lettings by length of tenancy,2015/16,Financial year,Other Ethnic group: Chinese,ONS 18+1,3 to 5 years,55.1,63
Percentage of new lettings by length of tenancy,2015/16,Financial year,Other Ethnic group: Other,ONS 18+1,3 to 5 years,58,433
Percentage of new lettings by length of tenancy,2015/16,Financial year,"White: Gypsy, Irish Traveller",ONS 18+1,3 to 5 years,51.3,43
Percentage of new lettings by length of tenancy,2015/16,Financial year,Other Ethnic group: Arab,ONS 18+1,3 to 5 years,68.3,185
Percentage of new lettings by length of tenancy,2015/16,Financial year,"White: English, Scottish, Welsh, Northern Irish, British",ONS 18+1,6 to 9 years,17.1,7453
Percentage of new lettings by length of tenancy,2015/16,Financial year,White: Irish,ONS 18+1,6 to 9 years,17,52
Percentage of new lettings by length of tenancy,2015/16,Financial year,White: Other,ONS 18+1,6 to 9 years,18.7,549
Percentage of new lettings by length of tenancy,2015/16,Financial year,Mixed: White & Black Caribbean,ONS 18+1,6 to 9 years,17.3,188
Percentage of new lettings by length of tenancy,2015/16,Financial year,Mixed: White & Black African,ONS 18+1,6 to 9 years,18.4,71
Percentage of new lettings by length of tenancy,2015/16,Financial year,Mixed: White & Asian,ONS 18+1,6 to 9 years,17.9,49
Percentage of new lettings by length of tenancy,2015/16,Financial year,Mixed: Other,ONS 18+1,6 to 9 years,19.1,122
Percentage of new lettings by length of tenancy,2015/16,Financial year,Asian/Asian British: Indian,ONS 18+1,6 to 9 years,17.6,82
Percentage of new lettings by length of tenancy,2015/16,Financial year,Asian/Asian British: Pakistani,ONS 18+1,6 to 9 years,15.3,123
Percentage of new lettings by length of tenancy,2015/16,Financial year,Asian/Asian British: Bangladeshi,ONS 18+1,6 to 9 years,10.1,89
Percentage of new lettings by length of tenancy,2015/16,Financial year,Asian/Asian British: Other,ONS 18+1,6 to 9 years,21.7,207
Percentage of new lettings by length of tenancy,2015/16,Financial year,"Black, African, Caribbean or Black British: Caribbean",ONS 18+1,6 to 9 years,23.9,500
Percentage of new lettings by length of tenancy,2015/16,Financial year,"Black, African, Caribbean or Black British: African",ONS 18+1,6 to 9 years,22,706
Percentage of new lettings by length of tenancy,2015/16,Financial year,"Black, African, Caribbean or Black British: Other",ONS 18+1,6 to 9 years,20.5,122
Percentage of new lettings by length of tenancy,2015/16,Financial year,Other Ethnic group: Chinese,ONS 18+1,6 to 9 years,23.6,27
Percentage of new lettings by length of tenancy,2015/16,Financial year,Other Ethnic group: Other,ONS 18+1,6 to 9 years,17.1,127
Percentage of new lettings by length of tenancy,2015/16,Financial year,"White: Gypsy, Irish Traveller",ONS 18+1,6 to 9 years,30.8,26
Percentage of new lettings by length of tenancy,2015/16,Financial year,Other Ethnic group: Arab,ONS 18+1,6 to 9 years,11.2,30
Percentage of new lettings by length of tenancy,2015/16,Financial year,"White: English, Scottish, Welsh, Northern Irish, British",ONS 18+1,10 or more years,2.5,1067
Percentage of new lettings by length of tenancy,2015/16,Financial year,White: Irish,ONS 18+1,10 or more years,2.4,7
Percentage of new lettings by length of tenancy,2015/16,Financial year,White: Other,ONS 18+1,10 or more years,1.7,50
Percentage of new lettings by length of tenancy,2015/16,Financial year,Mixed: White & Black Caribbean,ONS 18+1,10 or more years,1.4,15
Percentage of new lettings by length of tenancy,2015/16,Financial year,Mixed: White & Black African,ONS 18+1,10 or more years,4,15
Percentage of new lettings by length of tenancy,2015/16,Financial year,Mixed: White & Asian,ONS 18+1,10 or more years,2.2,6
Percentage of new lettings by length of tenancy,2015/16,Financial year,Mixed: Other,ONS 18+1,10 or more years,2,13
Percentage of new lettings by length of tenancy,2015/16,Financial year,Asian/Asian British: Indian,ONS 18+1,10 or more years,2,9
Percentage of new lettings by length of tenancy,2015/16,Financial year,Asian/Asian British: Pakistani,ONS 18+1,10 or more years,2.2,18
Percentage of new lettings by length of tenancy,2015/16,Financial year,Asian/Asian British: Bangladeshi,ONS 18+1,10 or more years,2.9,25
Percentage of new lettings by length of tenancy,2015/16,Financial year,Asian/Asian British: Other,ONS 18+1,10 or more years,2.3,22
Percentage of new lettings by length of tenancy,2015/16,Financial year,"Black, African, Caribbean or Black British: Caribbean",ONS 18+1,10 or more years,2.8,58
Percentage of new lettings by length of tenancy,2015/16,Financial year,"Black, African, Caribbean or Black British: African",ONS 18+1,10 or more years,2,65
Percentage of new lettings by length of tenancy,2015/16,Financial year,"Black, African, Caribbean or Black British: Other",ONS 18+1,10 or more years,2.3,13
Percentage of new lettings by length of tenancy,2015/16,Financial year,Other Ethnic group: Chinese,ONS 18+1,10 or more years,2.6,3
Percentage of new lettings by length of tenancy,2015/16,Financial year,Other Ethnic group: Other,ONS 18+1,10 or more years,1.4,10
Percentage of new lettings by length of tenancy,2015/16,Financial year,"White: Gypsy, Irish Traveller",ONS 18+1,10 or more years,0,0
Percentage of new lettings by length of tenancy,2015/16,Financial year,Other Ethnic group: Arab,ONS 18+1,10 or more years,1.1,3
