"Title","Violence involving prisoners by ethnicity"
"Location","England and Wales"
"Time period","2015"
"Data source","National Offender Management Service (NOMS) Offender Equalities Statistics Bulletin - supplementary table 4.2"
"Data source link","https://www.gov.uk/government/statistics/noms-annual-offender-equalities-report-2015-to-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","24 November 2016"

"Involvement Type","Ethnicity","Number","Incidents per 1000 prisoners"
"Assailant","Asian","810","117.9"
"Assailant","Black","3,017","285.3"
"Assailant","Mixed other","1,177","335.5"
"Assailant","White","8,026","127.0"
"Assailant","Chinese and other","160","163.1"
"Fighter","Asian","858","124.9"
"Fighter","Black","2,817","266.4"
"Fighter","Mixed other","980","279.3"
"Fighter","White","7,905","125.1"
"Fighter","Chinese and other","191","194.7"
"Victim","Asian","769","111.9"
"Victim","Black","1,335","126.3"
"Victim","Mixed other","475","135.4"
"Victim","White","6,761","107.0"
"Victim","Chinese and other","128","130.5"
