"Title","Grammar, punctuation and spelling attainment by ethnicity and gender"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 2 statistics"
"Data source link","https://www.gov.uk/government/statistics/national-curriculum-assessments-key-stage-2-2016-revised"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","12/01/2017 (revised)"

"","Boys","","","Girls","",""
"Ethnicity","Expected standard","Higher standard","Average scaled score","Expected standard","Higher standard","Average scaled score"
"All","68","18","103","78","27","105"
"Asian","74","26","105","83","35","107"
"Bangladeshi","77","24","105","85","36","107"
"Indian","81","35","106","89","45","108"
"Pakistani","68","18","103","78","27","105"
"Asian other","79","32","106","85","41","107"
"Black","70","20","104","80","28","105"
"Black African","74","23","104","83","31","106"
"Black Caribbean","61","13","102","74","19","104"
"Black other","67","18","103","77","25","105"
"Chinese","83","43","107","90","50","109"
"Mixed","70","21","104","80","30","106"
"Mixed White/Asian","76","27","105","85","37","107"
"Mixed White/Black African","70","21","104","79","29","105"
"Mixed White/Black Caribbean","62","14","102","75","22","104"
"Mixed other","72","22","104","82","32","106"
"White","66","17","103","77","25","105"
"White British","67","17","103","77","25","105"
"White Irish","73","25","104","83","36","107"
"White Irish Traveller","26","2","96","40","7","99"
"White Gypsy/Roma","18","2","94","26","3","96"
"White other","63","18","103","71","25","104"
"Other","67","22","104","77","28","105"
"Unknown","57","17","102","65","21","104"
