"Title","Science attainment for children aged 5 to 7 by ethnicity, gender and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated",""

"Breakdown","Ethnicity",""
"FSM Boys","All","65"
"FSM Boys","Asian","68"
"FSM Boys","Bangladeshi","69"
"FSM Boys","Indian","75"
"FSM Boys","Pakistani","65"
"FSM Boys","Asian other","69"
"FSM Boys","Black","69"
"FSM Boys","Black African","70"
"FSM Boys","Black Caribbean","66"
"FSM Boys","Black other","68"
"FSM Boys","Chinese","82"
"FSM Boys","Mixed","69"
"FSM Boys","Mixed White/Asian","69"
"FSM Boys","Mixed White/Black African","71"
"FSM Boys","Mixed White/Black Caribbean","65"
"FSM Boys","Mixed other","71"
"FSM Boys","White","64"
"FSM Boys","White British","64"
"FSM Boys","White Irish","64"
"FSM Boys","White Irish Traveller","40"
"FSM Boys","White Gypsy/Roma","38"
"FSM Boys","White other","65"
"FSM Boys","Other","67"
"FSM Girls","All","72"
"FSM Girls","Asian","76"
"FSM Girls","Bangladeshi","79"
"FSM Girls","Indian","80"
"FSM Girls","Pakistani","73"
"FSM Girls","Asian other","78"
"FSM Girls","Black","78"
"FSM Girls","Black African","79"
"FSM Girls","Black Caribbean","75"
"FSM Girls","Black other","78"
"FSM Girls","Chinese","83"
"FSM Girls","Mixed","77"
"FSM Girls","Mixed White/Asian","78"
"FSM Girls","Mixed White/Black African","78"
"FSM Girls","Mixed White/Black Caribbean","77"
"FSM Girls","Mixed other","77"
"FSM Girls","White","71"
"FSM Girls","White British","71"
"FSM Girls","White Irish","70"
"FSM Girls","White Irish Traveller","50"
"FSM Girls","White Gypsy/Roma","47"
"FSM Girls","White other","68"
"FSM Girls","Other","74"
"Non-FSM Boys","All","82"
"Non-FSM Boys","Asian","79"
"Non-FSM Boys","Bangladeshi","77"
"Non-FSM Boys","Indian","85"
"Non-FSM Boys","Pakistani","74"
"Non-FSM Boys","Asian other","80"
"Non-FSM Boys","Black","79"
"Non-FSM Boys","Black African","79"
"Non-FSM Boys","Black Caribbean","78"
"Non-FSM Boys","Black other","77"
"Non-FSM Boys","Chinese","83"
"Non-FSM Boys","Mixed","83"
"Non-FSM Boys","Mixed White/Asian","87"
"Non-FSM Boys","Mixed White/Black African","84"
"Non-FSM Boys","Mixed White/Black Caribbean","80"
"Non-FSM Boys","Mixed other","82"
"Non-FSM Boys","White","83"
"Non-FSM Boys","White British","84"
"Non-FSM Boys","White Irish","87"
"Non-FSM Boys","White Irish Traveller","47"
"Non-FSM Boys","White Gypsy/Roma","37"
"Non-FSM Boys","White other","75"
"Non-FSM Boys","Other","74"
"Non-FSM Girls","All","86"
"Non-FSM Girls","Asian","84"
"Non-FSM Girls","Bangladeshi","82"
"Non-FSM Girls","Indian","89"
"Non-FSM Girls","Pakistani","79"
"Non-FSM Girls","Asian other","87"
"Non-FSM Girls","Black","85"
"Non-FSM Girls","Black African","86"
"Non-FSM Girls","Black Caribbean","83"
"Non-FSM Girls","Black other","83"
"Non-FSM Girls","Chinese","88"
"Non-FSM Girls","Mixed","88"
"Non-FSM Girls","Mixed White/Asian","90"
"Non-FSM Girls","Mixed White/Black African","87"
"Non-FSM Girls","Mixed White/Black Caribbean","86"
"Non-FSM Girls","Mixed other","88"
"Non-FSM Girls","White","87"
"Non-FSM Girls","White British","88"
"Non-FSM Girls","White Irish","91"
"Non-FSM Girls","White Irish Traveller","54"
"Non-FSM Girls","White Gypsy/Roma","39"
"Non-FSM Girls","White other","79"
"Non-FSM Girls","Other","79"
