"FSM","Ethnicity","%"
"FSM","All","69"
"FSM","Asian","73"
"FSM","Bangladeshi","74"
"FSM","Indian","79"
"FSM","Pakistani","71"
"FSM","Asian other","76"
"FSM","Black","74"
"FSM","Black African","75"
"FSM","Black Caribbean","72"
"FSM","Black other","73"
"FSM","Chinese","83"
"FSM","Mixed","73"
"FSM","Mixed White/Asian","71"
"FSM","Mixed White/Black African","77"
"FSM","Mixed White/Black Caribbean","72"
"FSM","Mixed other","73"
"FSM","White","67"
"FSM","White British","68"
"FSM","White Irish","57"
"FSM","White Irish Traveller","42"
"FSM","White Gypsy/Roma","41"
"FSM","White other","68"
"FSM","Other","69"
"Non-FSM","All","85"
"Non-FSM","Asian","82"
"Non-FSM","Bangladeshi","80"
"Non-FSM","Indian","88"
"Non-FSM","Pakistani","78"
"Non-FSM","Asian other","84"
"Non-FSM","Black","82"
"Non-FSM","Black African","83"
"Non-FSM","Black Caribbean","82"
"Non-FSM","Black other","81"
"Non-FSM","Chinese","90"
"Non-FSM","Mixed","86"
"Non-FSM","Mixed White/Asian","89"
"Non-FSM","Mixed White/Black African","85"
"Non-FSM","Mixed White/Black Caribbean","84"
"Non-FSM","Mixed other","86"
"Non-FSM","White","86"
"Non-FSM","White British","87"
"Non-FSM","White Irish","88"
"Non-FSM","White Irish Traveller","51"
"Non-FSM","White Gypsy/Roma","37"
"Non-FSM","White other","79"
"Non-FSM","Other","77"
