"Title","Science attainment for children aged 5 to 7 by ethnicity and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2016"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","19/12/16"

"FSM","Ethnicity",""
"FSM","All","69"
"FSM","Asian","72"
"FSM","Bangladeshi","74"
"FSM","Indian","77"
"FSM","Pakistani","69"
"FSM","Asian other","73"
"FSM","Black","73"
"FSM","Black African","74"
"FSM","Black Caribbean","71"
"FSM","Black other","73"
"FSM","Chinese","83"
"FSM","Mixed","73"
"FSM","Mixed White/Asian","73"
"FSM","Mixed White/Black African","74"
"FSM","Mixed White/Black Caribbean","71"
"FSM","Mixed other","74"
"FSM","White","67"
"FSM","White British","67"
"FSM","White Irish","67"
"FSM","White Irish Traveller","45"
"FSM","White Gypsy/Roma","43"
"FSM","White other","67"
"FSM","Other","71"
"Non-FSM","All","84"
"Non-FSM","Asian","81"
"Non-FSM","Bangladeshi","80"
"Non-FSM","Indian","87"
"Non-FSM","Pakistani","77"
"Non-FSM","Asian other","83"
"Non-FSM","Black","82"
"Non-FSM","Black African","83"
"Non-FSM","Black Caribbean","81"
"Non-FSM","Black other","80"
"Non-FSM","Chinese","86"
"Non-FSM","Mixed","86"
"Non-FSM","Mixed White/Asian","88"
"Non-FSM","Mixed White/Black African","86"
"Non-FSM","Mixed White/Black Caribbean","83"
"Non-FSM","Mixed other","85"
"Non-FSM","White","85"
"Non-FSM","White British","86"
"Non-FSM","White Irish","89"
"Non-FSM","White Irish Traveller","50"
"Non-FSM","White Gypsy/Roma","38"
"Non-FSM","White other","77"
"Non-FSM","Other","77"
