"Title","Science attainment for children aged 6 to 7 by ethnicity, gender and eligibility for free school meals (FSM)"
"Location","England"
"Time period","2016/17"
"Data source","Key stage 1 statistics"
"Data source link","https://www.gov.uk/government/statistics/phonics-screening-check-and-key-stage-1-assessments-england-2017"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","28/09/17"

"","Boys","","Girls",""
"Ethnicity","FSM","Non-FSM","FSM","Non-FSM"
"All","66","83","72","87"
"Asian","71","79","76","86"
"Bangladeshi","71","77","77","84"
"Indian","78","86","80","91"
"Pakistani","69","75","73","81"
"Asian other","74","81","78","87"
"Black","70","79","79","86"
"Black African","71","79","80","86"
"Black Caribbean","67","78","78","85"
"Black other","69","77","76","84"
"Chinese","78","88","89","92"
"Mixed","69","84","77","89"
"Mixed White/Asian","66","87","77","91"
"Mixed White/Black African","74","82","80","89"
"Mixed White/Black Caribbean","68","81","76","87"
"Mixed other","68","84","78","89"
"White","64","84","71","88"
"White British","64","85","71","89"
"White Irish","54","88","59","89"
"White Irish Traveller","40","45","45","58"
"White Gypsy/Roma","37","36","46","39"
"White other","64","76","72","82"
"Other","68","74","71","80"
